cycle number	Ecell/V	Q charge/mA.h	Energy charge/W.h	
3.000000000000000E+000	3.1833367E+000	4.888642827669780E-007	1.556219629649955E-009
3.000000000000000E+000	3.1889322E+000	3.910936249627007E-006	1.246897504843058E-008
3.000000000000000E+000	3.1941731E+000	9.288531111346351E-006	2.964594388558282E-008
3.000000000000000E+000	3.1994138E+000	1.711056775516934E-005	5.467187568331776E-008
3.000000000000000E+000	3.2046547E+000	2.737684932019975E-005	8.757176308654773E-008
3.000000000000000E+000	3.2098167E+000	4.057689683304892E-005	1.299414959583115E-007
3.000000000000000E+000	3.2148211E+000	5.573244541883468E-005	1.786638733375320E-007
3.000000000000000E+000	3.2198255E+000	7.333229346407784E-005	2.353323129790319E-007
3.000000000000000E+000	3.2249479E+000	9.239921609560648E-005	2.968221456392732E-007
3.000000000000000E+000	3.2299523E+000	1.129326002796491E-004	3.631439978373178E-007
3.000000000000000E+000	3.2350357E+000	1.349324460162057E-004	4.343142832629968E-007
3.000000000000000E+000	3.2400401E+000	1.569330578380161E-004	5.055971469950512E-007
3.000000000000000E+000	3.2451231E+000	1.803999890221490E-004	5.817502285923703E-007
3.000000000000000E+000	3.2502062E+000	2.038667998711268E-004	6.580222034605477E-007
3.000000000000000E+000	3.2552106E+000	2.283112298448881E-004	7.375939719521122E-007
3.000000000000000E+000	3.2602150E+000	2.537336619032754E-004	8.204765674044838E-007
3.000000000000000E+000	3.2652588E+000	2.786666716138522E-004	9.018892964997253E-007
3.000000000000000E+000	3.2703025E+000	3.050667446851731E-004	9.882255223653807E-007
3.000000000000000E+000	3.2753069E+000	3.314666316906611E-004	1.074693255491750E-006
3.000000000000000E+000	3.2803507E+000	3.593337137500445E-004	1.166107057217534E-006
3.000000000000000E+000	3.2854340E+000	3.876898680130641E-004	1.259269330759276E-006
3.000000000000000E+000	3.2905171E+000	4.155566544665231E-004	1.350965467876561E-006
3.000000000000000E+000	3.2956004E+000	4.458681017822690E-004	1.450859886207642E-006
3.000000000000000E+000	3.3006442E+000	4.761795270442962E-004	1.550907114959326E-006
3.000000000000000E+000	3.3056486E+000	5.074688452482223E-004	1.654338604789111E-006
3.000000000000000E+000	3.3106923E+000	5.387578022480011E-004	1.757926714126626E-006
3.000000000000000E+000	3.3157361E+000	5.715135709113545E-004	1.866536197305201E-006
3.000000000000000E+000	3.3208587E+000	6.057366441024674E-004	1.980186188233231E-006
3.000000000000000E+000	3.3258629E+000	6.399592576093144E-004	2.094005908306977E-006
3.000000000000000E+000	3.3309462E+000	6.766264005833201E-004	2.216142189119473E-006
3.000000000000000E+000	3.3359900E+000	7.137822216749191E-004	2.340093634942605E-006
3.000000000000000E+000	3.3411520E+000	7.528937735160192E-004	2.470771272751326E-006
3.000000000000000E+000	3.3461957E+000	7.934723015957408E-004	2.606554968834115E-006
3.000000000000000E+000	3.3512001E+000	8.355171157916387E-004	2.747455554529968E-006
3.000000000000000E+000	3.3562438E+000	8.785400855210092E-004	2.891851132041305E-006
3.000000000000000E+000	3.3613665E+000	9.254738493429290E-004	3.049612713958918E-006
3.000000000000000E+000	3.3664103E+000	9.728974406586753E-004	3.209259978113668E-006
3.000000000000000E+000	3.3714147E+000	1.025209029151334E-003	3.385624034519331E-006
3.000000000000000E+000	3.3764584E+000	1.078987177676625E-003	3.567203716190779E-006
3.000000000000000E+000	3.3815811E+000	1.136675726075967E-003	3.762282219300643E-006
3.000000000000000E+000	3.3866642E+000	1.198764545818170E-003	3.972556199370578E-006
3.000000000000000E+000	3.3917472E+000	1.267209488153458E-003	4.204704143371706E-006
