cycle number	Ecell/V	Q discharge/mA.h	Energy discharge/W.h	
5.000000000000000E+000	3.4241405E+000	1.525027470456229E-008	-5.371990628045563E-007
5.000000000000000E+000	3.4191365E+000	6.551589664071798E-005	-7.611547151533295E-007
5.000000000000000E+000	3.4140930E+000	2.625186886017521E-004	-1.433740571630892E-006
5.000000000000000E+000	3.4090889E+000	5.802653338139256E-004	-2.516967116955406E-006
5.000000000000000E+000	3.4040847E+000	1.039776107499169E-003	-4.081180703084801E-006
5.000000000000000E+000	3.3990805E+000	1.654250206314027E-003	-6.169827639281939E-006
5.000000000000000E+000	3.3940763E+000	2.419284120628403E-003	-8.766411152777770E-006
5.000000000000000E+000	3.3890722E+000	3.376439270339906E-003	-1.201027904241189E-005
5.000000000000000E+000	3.3840287E+000	4.552587572398285E-003	-1.599039862048000E-005
5.000000000000000E+000	3.3790245E+000	6.036215949816008E-003	-2.100361526500065E-005
5.000000000000000E+000	3.3739810E+000	8.063930661905971E-003	-2.784508617497058E-005
5.000000000000000E+000	3.3689768E+000	1.135432006027550E-002	-3.893033182448067E-005
5.000000000000000E+000	3.3639729E+000	1.664168587104728E-002	-5.671688713645370E-005
5.000000000000000E+000	3.3592446E+000	2.397440025815947E-002	-8.134926823498495E-005
5.000000000000000E+000	3.3556588E+000	3.130710774666319E-002	-1.059553324237494E-004
5.000000000000000E+000	3.3526642E+000	3.863981077637523E-002	-1.305394235972057E-004
5.000000000000000E+000	3.3500242E+000	4.597249991684738E-002	-1.551041098399189E-004
5.000000000000000E+000	3.3476207E+000	5.330520098006973E-002	-1.796512118940237E-004
5.000000000000000E+000	3.3455718E+000	6.063789876937452E-002	-2.041832785158666E-004
5.000000000000000E+000	3.3436804E+000	6.797058603773100E-002	-2.287014410807608E-004
5.000000000000000E+000	3.3419862E+000	7.530330023867801E-002	-2.532072705974625E-004
5.000000000000000E+000	3.3402917E+000	8.263601611378704E-002	-2.777006808559313E-004
5.000000000000000E+000	3.3387158E+000	8.996873434549817E-002	-3.021825430122484E-004
5.000000000000000E+000	3.3373761E+000	9.730143959071486E-002	-3.266545383758143E-004
5.000000000000000E+000	3.3357606E+000	1.046341618404744E-001	-3.511147442990145E-004
5.000000000000000E+000	3.3343027E+000	1.119668816023692E-001	-3.755642513340221E-004
5.000000000000000E+000	3.3330023E+000	1.192996213903982E-001	-4.000042901245399E-004
5.000000000000000E+000	3.3317020E+000	1.266323479622892E-001	-4.244347498651426E-004
5.000000000000000E+000	3.3304017E+000	1.339650634016221E-001	-4.488556375293585E-004
5.000000000000000E+000	3.3291409E+000	1.412977651229459E-001	-4.732672347487979E-004
5.000000000000000E+000	3.3278406E+000	1.486304657808898E-001	-4.976692934612957E-004
5.000000000000000E+000	3.3265402E+000	1.559631638423560E-001	-5.220618085697062E-004
5.000000000000000E+000	3.3255157E+000	1.632958559060387E-001	-5.464467914959002E-004
5.000000000000000E+000	3.3242550E+000	1.706285440478681E-001	-5.708225166387337E-004
5.000000000000000E+000	3.3231516E+000	1.779612403907668E-001	-5.951901781381853E-004
5.000000000000000E+000	3.3218908E+000	1.852939174206348E-001	-6.195485307303414E-004
5.000000000000000E+000	3.3208270E+000	1.926265877610735E-001	-6.438990604324518E-004
5.000000000000000E+000	3.3196449E+000	1.999592199794741E-001	-6.682407957849973E-004
5.000000000000000E+000	3.3185809E+000	2.072918400977014E-001	-6.925746886059664E-004
5.000000000000000E+000	3.3175170E+000	2.146244617807493E-001	-7.169007860031899E-004
5.000000000000000E+000	3.3164926E+000	2.219570874740308E-001	-7.412193845420792E-004
5.000000000000000E+000	3.3155077E+000	2.292896985927845E-001	-7.655307128035347E-004
5.000000000000000E+000	3.3142467E+000	2.366223156690556E-001	-7.898328144173727E-004
5.000000000000000E+000	3.3133011E+000	2.439549347155583E-001	-8.141279890704963E-004
5.000000000000000E+000	3.3123159E+000	2.512875621483020E-001	-8.384159678043381E-004
5.000000000000000E+000	3.3112128E+000	2.586201871949393E-001	-8.626958495557169E-004
5.000000000000000E+000	3.3100307E+000	2.659527973401505E-001	-8.869670142385242E-004
5.000000000000000E+000	3.3092425E+000	2.732854034347295E-001	-9.112323858668006E-004
5.000000000000000E+000	3.3081787E+000	2.806180151450262E-001	-9.354899754727291E-004
5.000000000000000E+000	3.3069572E+000	2.879506297273727E-001	-9.597386183896818E-004
5.000000000000000E+000	3.3061693E+000	2.952832476364863E-001	-9.839814944002173E-004
5.000000000000000E+000	3.3052235E+000	3.026158777635917E-001	-1.008217475556242E-003
5.000000000000000E+000	3.3041203E+000	3.099485023053777E-001	-1.032445349173169E-003
5.000000000000000E+000	3.3032534E+000	3.172811283481411E-001	-1.056666871169656E-003
5.000000000000000E+000	3.3021896E+000	3.246137492674217E-001	-1.080880575626065E-003
