cycle number,time/s,Ecell/V,I/mA,Capacity/mA.h
15.0,126978.1682028244,3.4270563,-0.88007963,4.9934356369906e-07
15.0,126978.5342028427,3.422015,-0.88021749,8.997989540919662e-05
15.0,126979.5642028945,3.4169738,-0.88019782,0.0003417966214712295
15.0,126981.2222029779,3.4119327,-0.88009936,0.0007471493155322968
15.0,126983.5762030962,3.4069309,-0.88023722,0.001322664396322022
15.0,126986.654203251,3.4018898,-0.88023722,0.002075182124399063
15.0,126990.6702034532,3.396888,-0.88011903,0.003057024898717387
15.0,126995.5102036966,3.3918862,-0.88009936,0.00424032249154937
15.0,127001.4682039961,3.3868847,-0.88015842,0.005696951150287771
15.0,127009.5822044043,3.3818433,-0.88005996,0.007680688199721692
15.0,127023.0762050827,3.3768022,-0.88013875,0.01097973926390832
15.0,127050.3482064544,3.3718004,-0.88011903,0.01764726614424545
15.0,127080.3482079632,3.3686893,-0.88013875,0.0249817464255852
15.0,127110.3482094719,3.3662474,-0.88021749,0.03231625167670142
15.0,127140.3482109807,3.3643963,-0.88019782,0.0396507515556179
15.0,127170.3482124894,3.3627028,-0.88015842,0.04698524119369479
15.0,127200.3482139981,3.361167,-0.88007963,0.05431974631556827
15.0,127230.3482155069,3.3598278,-0.88015842,0.06165424886358074
15.0,127260.3482170156,3.3586857,-0.88009936,0.06898874563279044
15.0,127290.3482185244,3.357583,-0.88023722,0.07632322737169554
15.0,127320.3482200331,3.356559,-0.88025689,0.08365773101269162
15.0,127350.3482215418,3.355535,-0.88013875,0.09099223438391046
15.0,127380.3482230506,3.3545897,-0.88009936,0.09832672436199874
15.0,127410.3482245593,3.353802,-0.88015842,0.1056612279932594
15.0,127440.3482260685,3.3529356,-0.88013875,0.1129957157362397
15.0,127470.3482275773,3.3521085,-0.88019782,0.1203301811499624
15.0,127500.348229086,3.3513603,-0.88013875,0.1276646535971988
15.0,127530.3482305948,3.3506513,-0.88019782,0.1349991209120117
15.0,127560.3482321035,3.3499031,-0.88009936,0.1423335969602627
15.0,127590.3482336123,3.349076,-0.88021749,0.1496680727805921
15.0,127620.348235121,3.3484459,-0.88009936,0.1570025513996577
