cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
2.000000000000000E+000	1.0001000E+004	8.4340019E+000	2.2002959E+000
2.000000000000000E+000	6.7460000E+003	8.9113970E+000	1.9182779E+000
2.000000000000000E+000	4.5510005E+003	9.3817205E+000	1.8673815E+000
2.000000000000000E+000	3.0700000E+003	9.8183575E+000	1.8344228E+000
2.000000000000000E+000	2.0710005E+003	1.0250462E+001	1.8349762E+000
2.000000000000000E+000	1.3970001E+003	1.0680414E+001	1.8683239E+000
2.000000000000000E+000	9.4205835E+002	1.1150760E+001	1.8977917E+000
2.000000000000000E+000	6.3536450E+002	1.1640770E+001	1.9277440E+000
2.000000000000000E+000	4.2871338E+002	1.2137363E+001	1.9412048E+000
2.000000000000000E+000	2.8913373E+002	1.2641953E+001	1.9311496E+000
2.000000000000000E+000	1.9502592E+002	1.3125427E+001	1.9288641E+000
2.000000000000000E+000	1.3346550E+002	1.3601472E+001	1.9273689E+000
2.000000000000000E+000	8.8668892E+001	1.4119561E+001	1.9173831E+000
2.000000000000000E+000	5.9863087E+001	1.4624677E+001	1.8834974E+000
2.000000000000000E+000	4.0354206E+001	1.5125800E+001	1.8105934E+000
2.000000000000000E+000	2.7236528E+001	1.5586527E+001	1.7068999E+000
2.000000000000000E+000	1.8356367E+001	1.5992019E+001	1.5890243E+000
2.000000000000000E+000	1.2393575E+001	1.6337261E+001	1.4837435E+000
2.000000000000000E+000	8.3562918E+000	1.6647270E+001	1.4281031E+000
2.000000000000000E+000	5.6368299E+000	1.6922577E+001	1.4249755E+000
2.000000000000000E+000	3.8021243E+000	1.7188803E+001	1.4867285E+000
2.000000000000000E+000	2.5634654E+000	1.7470610E+001	1.6229910E+000
2.000000000000000E+000	1.7299316E+000	1.7766916E+001	1.8473518E+000
2.000000000000000E+000	1.1664815E+000	1.8127932E+001	2.1883838E+000
2.000000000000000E+000	7.8696758E-001	1.8575634E+001	2.6507676E+000
2.000000000000000E+000	5.3085387E-001	1.9043587E+001	3.2189593E+000
2.000000000000000E+000	3.5855919E-001	1.9714937E+001	4.0530710E+000
2.000000000000000E+000	2.4214387E-001	2.0512320E+001	4.9432864E+000
2.000000000000000E+000	1.6298145E-001	2.1669041E+001	6.2207489E+000
2.000000000000000E+000	1.0943040E-001	2.2964737E+001	7.8166847E+000
2.000000000000000E+000	7.4505806E-002	2.4503298E+001	9.3619833E+000
2.000000000000000E+000	4.8894435E-002	2.6446756E+001	1.1338170E+001
3.000000000000000E+000	1.0001000E+004	8.2512407E+000	2.1055870E+000
3.000000000000000E+000	6.7460000E+003	8.8758926E+000	1.8198780E+000
3.000000000000000E+000	4.5510005E+003	9.3055506E+000	1.7320722E+000
3.000000000000000E+000	3.0700000E+003	9.6930199E+000	1.6769162E+000
3.000000000000000E+000	2.0710005E+003	1.0064634E+001	1.6646875E+000
3.000000000000000E+000	1.3970001E+003	1.0446989E+001	1.6861974E+000
3.000000000000000E+000	9.4205835E+002	1.0852670E+001	1.7416773E+000
3.000000000000000E+000	6.3536450E+002	1.1301627E+001	1.7938281E+000
3.000000000000000E+000	4.2871338E+002	1.1773071E+001	1.8328594E+000
3.000000000000000E+000	2.8913373E+002	1.2251012E+001	1.8574513E+000
3.000000000000000E+000	1.9502592E+002	1.2736003E+001	1.8598365E+000
3.000000000000000E+000	1.3346550E+002	1.3196651E+001	1.8634449E+000
3.000000000000000E+000	8.8668892E+001	1.3701199E+001	1.8565671E+000
3.000000000000000E+000	5.9863087E+001	1.4190465E+001	1.8290930E+000
3.000000000000000E+000	4.0354206E+001	1.4682307E+001	1.7677644E+000
