cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm
2.0,10001.0,8.533267,1.7845645
2.0,6746.0,9.0038729,1.958207
2.0,4551.0005,9.4707317,1.8881484
2.0,3070.0,9.8975716,1.8479898
2.0,2071.0005,10.31617,1.845677
2.0,1397.0001,10.758264,1.8897855
2.0,942.05835,11.213098,1.9562883
2.0,635.3645,11.73787,2.0152407
2.0,428.71338,12.275362,2.0396042
2.0,289.13373,12.811843,2.0378726
2.0,195.02592,13.346622,2.0141175
2.0,133.4655,13.848063,1.9835504
2.0,88.668892,14.378495,1.9320219
2.0,59.863087,14.889983,1.8495531
2.0,40.354206,15.365164,1.725655
2.0,27.236528,15.786223,1.5907674
2.0,18.356367,16.146296,1.4567014
2.0,12.393575,16.451887,1.3525723
2.0,8.3562918,16.710833,1.3044324
2.0,5.6368299,16.961706,1.3069056
2.0,3.8021243,17.202517,1.3881652
2.0,2.5634654,17.456678,1.544156
2.0,1.7299316,17.741526,1.7730665
2.0,1.1664815,18.075294,2.0924704
2.0,0.78696758,18.475431,2.5282469
2.0,0.53085387,18.988247,3.1412547
2.0,0.35855919,19.639837,3.8303177
2.0,0.24214387,20.457729,4.8516192
2.0,0.16298145,21.427988,5.9440932
2.0,0.1094304,22.83502,7.2594428
2.0,0.074505806,24.427975,9.0138721
2.0,0.048894435,26.570801,11.26958
3.0,10001.0,8.1197405,1.8477435
3.0,6746.0,8.8670387,1.8510092
3.0,4551.0005,9.302825,1.7562975
3.0,3070.0,9.6857014,1.6976079
3.0,2071.0005,10.052361,1.6911956
3.0,1397.0001,10.440387,1.7281346
3.0,942.05835,10.862245,1.8034613
3.0,635.3645,11.329404,1.8785824
3.0,428.71338,11.836756,1.9330175
3.0,289.13373,12.356591,1.94359
3.0,195.02592,12.868789,1.937227
3.0,133.4655,13.360631,1.9186258
3.0,88.668892,13.88824,1.8767929
3.0,59.863087,14.377652,1.8041353
3.0,40.354206,14.850845,1.7000356
3.0,27.236528,15.269897,1.5668751
3.0,18.356367,15.628075,1.4449527
3.0,12.393575,15.921319,1.3448884
3.0,8.3562918,16.184591,1.2905132
3.0,5.6368299,16.423845,1.3040639
3.0,3.8021243,16.673513,1.3751978
3.0,2.5634654,16.918177,1.5288115
3.0,1.7299316,17.209217,1.7596147
3.0,1.1664815,17.53511,2.084533
3.0,0.78696758,17.919207,2.535661
3.0,0.53085387,18.456873,3.1253059
3.0,0.35855919,19.06835,3.8210483
3.0,0.24214387,19.96854,4.7858329
3.0,0.16298145,20.921726,5.9387465
3.0,0.1094304,22.215864,7.1755996
3.0,0.074505806,23.92341,8.7559519
3.0,0.048894435,26.134123,10.692778
4.0,10001.0,8.0484772,2.0216355
4.0,6746.0,8.7792587,1.8334955
4.0,4551.0005,9.2051287,1.7399023
4.0,3070.0,9.5882797,1.6838673
4.0,2071.0005,9.9517908,1.6772752
4.0,1397.0001,10.330682,1.7252389
4.0,942.05835,10.748541,1.8002293
4.0,635.3645,11.219923,1.8863878
4.0,428.71338,11.731438,1.9438425
4.0,289.13373,12.252508,1.9680964
4.0,195.02592,12.770579,1.9611207
4.0,133.4655,13.268708,1.9314408
4.0,88.668892,13.796691,1.8907127
4.0,59.863087,14.299722,1.8201859
4.0,40.354206,14.777599,1.7181599
4.0,27.236528,15.194064,1.5774736
4.0,18.356367,15.556293,1.4531962
4.0,12.393575,15.853888,1.3583909
4.0,8.3562918,16.125282,1.3052516
4.0,5.6368299,16.37005,1.3116241
4.0,3.8021243,16.617559,1.3770182
4.0,2.5634654,16.86751,1.5246344
4.0,1.7299316,17.147831,1.7530581
4.0,1.1664815,17.486366,2.0860088
4.0,0.78696758,17.905312,2.5413558
4.0,0.53085387,18.395283,3.0762703
4.0,0.35855919,19.014399,3.8568127
4.0,0.24214387,19.868196,4.687458
4.0,0.16298145,20.95402,5.8771572
4.0,0.1094304,22.168407,7.2472734
4.0,0.074505806,23.741535,8.5964336
4.0,0.048894435,25.725327,10.286642
5.0,10001.0,8.2246552,1.6673936
5.0,6746.0,8.698348,1.8131208
5.0,4551.0005,9.115984,1.7225059
5.0,3070.0,9.4972172,1.6713365
5.0,2071.0005,9.8636932,1.6709425
5.0,1397.0001,10.238577,1.7188294
5.0,942.05835,10.657037,1.7954305
5.0,635.3645,11.126708,1.8815874
5.0,428.71338,11.637917,1.9343959
5.0,289.13373,12.1605,1.963814
5.0,195.02592,12.677168,1.9542764
5.0,133.4655,13.168326,1.9313715
5.0,88.668892,13.699688,1.8927461
5.0,59.863087,14.205548,1.8304772
5.0,40.354206,14.676501,1.7236153
5.0,27.236528,15.102573,1.5939395
5.0,18.356367,15.466316,1.4693098
5.0,12.393575,15.77512,1.3664274
5.0,8.3562918,16.049837,1.3175728
5.0,5.6368299,16.292831,1.3120823
5.0,3.8021243,16.537321,1.387257
5.0,2.5634654,16.796957,1.5254657
5.0,1.7299316,17.082878,1.7416767
5.0,1.1664815,17.403364,2.0554235
5.0,0.78696758,17.796753,2.4873371
5.0,0.53085387,18.297075,3.0767517
5.0,0.35855919,18.971916,3.7442501
5.0,0.24214387,19.73583,4.7057123
5.0,0.16298145,20.748079,5.7074237
5.0,0.1094304,22.173817,7.0219574
5.0,0.074505806,23.586657,8.6369724
5.0,0.048894435,25.418966,10.728007
6.0,10001.0,8.3634901,1.7579366
6.0,6746.0,8.6628008,1.8024385
6.0,4551.0005,9.0799742,1.7197953
6.0,3070.0,9.4598379,1.6725167
6.0,2071.0005,9.8227634,1.6672974
6.0,1397.0001,10.205139,1.7253746
6.0,942.05835,10.61819,1.7958636
6.0,635.3645,11.086176,1.8765556
6.0,428.71338,11.596314,1.933901
6.0,289.13373,12.119268,1.9569269
6.0,195.02592,12.631125,1.951529
6.0,133.4655,13.125869,1.9337847
6.0,88.668892,13.645806,1.8985687
6.0,59.863087,14.149798,1.8339173
6.0,40.354206,14.632966,1.7332588
6.0,27.236528,15.062337,1.610504
6.0,18.356367,15.433053,1.4846445
6.0,12.393575,15.746193,1.3838224
6.0,8.3562918,16.018629,1.3247045
6.0,5.6368299,16.276705,1.3269194
6.0,3.8021243,16.517231,1.3905592
6.0,2.5634654,16.779638,1.5159585
6.0,1.7299316,17.065212,1.7368798
6.0,1.1664815,17.386179,2.0417075
6.0,0.78696758,17.805397,2.499747
6.0,0.53085387,18.291021,3.0367484
6.0,0.35855919,18.905178,3.7221019
6.0,0.24214387,19.714891,4.6738973
6.0,0.16298145,20.696604,5.6550336
6.0,0.1094304,22.094896,6.9685807
6.0,0.074505806,23.474218,8.5341673
6.0,0.048894435,25.235191,10.56404
7.0,10001.0,8.2039452,1.645239
7.0,6746.0,8.6152945,1.7846099
7.0,4551.0005,9.0273552,1.7103249
7.0,3070.0,9.4065809,1.6608891
7.0,2071.0005,9.7727518,1.6650683
7.0,1397.0001,10.159861,1.7227426
7.0,942.05835,10.566915,1.789674
7.0,635.3645,11.032624,1.8736227
7.0,428.71338,11.538369,1.9316037
7.0,289.13373,12.054502,1.9556372
7.0,195.02592,12.574045,1.9474289
7.0,133.4655,13.066003,1.9280136
7.0,88.668892,13.588037,1.896078
7.0,59.863087,14.087744,1.8346741
7.0,40.354206,14.569562,1.7396215
7.0,27.236528,15.003987,1.6160088
7.0,18.356367,15.385274,1.4914114
7.0,12.393575,15.6974,1.3891505
7.0,8.3562918,15.975266,1.3304825
7.0,5.6368299,16.228296,1.3239011
7.0,3.8021243,16.471849,1.3784904
7.0,2.5634654,16.731159,1.5234332
7.0,1.7299316,17.007984,1.7376522
7.0,1.1664815,17.330885,2.0345943
7.0,0.78696758,17.727793,2.4599555
7.0,0.53085387,18.221834,3.0274816
7.0,0.35855919,18.884998,3.6857526
7.0,0.24214387,19.634525,4.6321774
7.0,0.16298145,20.614344,5.6107855
7.0,0.1094304,21.994463,6.8935323
7.0,0.074505806,23.406691,8.4968596
7.0,0.048894435,25.254995,10.580011
8.0,10001.0,7.9302578,1.767503
8.0,6746.0,8.6266804,1.7860221
8.0,4551.0005,9.0375729,1.7040149
8.0,3070.0,9.4165459,1.661239
8.0,2071.0005,9.7761927,1.6627254
8.0,1397.0001,10.157227,1.708087
8.0,942.05835,10.571652,1.7913835
8.0,635.3645,11.040689,1.8719798
8.0,428.71338,11.547061,1.9312975
8.0,289.13373,12.071302,1.954996
8.0,195.02592,12.584478,1.9543754
8.0,133.4655,13.077563,1.9341063
8.0,88.668892,13.600492,1.9084481
8.0,59.863087,14.110041,1.8517634
8.0,40.354206,14.598215,1.7548082
8.0,27.236528,15.034855,1.6393188
8.0,18.356367,15.419293,1.5109625
8.0,12.393575,15.737126,1.4068362
8.0,8.3562918,16.02454,1.3429017
8.0,5.6368299,16.276188,1.3345511
8.0,3.8021243,16.529495,1.3873479
8.0,2.5634654,16.790377,1.5258797
