cycle number,time/s,Ecell/V,I/mA,Q charge/mA.h
2.0,288697.8408497812,2.9889436,0.87989604,4.888311359617446e-07
2.0,288697.8648497835,2.9939847,0.87987632,6.354990667766995e-06
2.0,288697.9068497878,2.9989862,0.87999451,1.662100225687027e-05
2.0,288697.9708497943,3.0041454,0.87989604,3.226432025432587e-05
2.0,288698.0568498038,3.0091472,0.87983698,5.32854480875863e-05
2.0,288698.164849815,3.0141881,0.88003385,7.968454960319731e-05
2.0,288698.2928498285,3.0193472,0.88001418,0.0001109723235170046
2.0,288698.4408498434,3.0244277,0.87993538,0.0001471485947569211
2.0,288698.5968498597,3.0294292,0.88001418,0.0001852807591689957
2.0,288698.7608498773,3.034431,0.87991571,0.0002253680184814665
2.0,288698.9328498952,3.0394719,0.87985665,0.0002674115102489789
2.0,288699.1168499142,3.0444736,0.87995511,0.0003123871026105351
2.0,288699.3148499345,3.0495932,0.87987632,0.0003607849942644437
2.0,288699.5148499561,3.054595,0.88001418,0.0004096717825863097
2.0,288699.7208499769,3.0595965,0.87999451,0.0004600257426169184
2.0,288699.9288499989,3.0646377,0.87997478,0.0005108683587114017
2.0,288700.1468500216,3.0696785,0.88001418,0.0005641562900940577
2.0,288700.3748500454,3.074759,0.87991571,0.0006198879286315706
2.0,288700.6048500696,3.0798001,0.87997478,0.0006761077965299288
2.0,288700.8368500937,3.0848017,0.87993538,0.0007328165284461445
2.0,288701.076850119,3.0898032,0.87995511,0.0007914809567067359
2.0,288701.3288501445,3.094805,0.87997478,0.0008530787109335264
2.0,288701.5828501713,3.0998459,0.87999451,0.0009151650009883776
2.0,288701.8468501987,3.1048477,0.88001418,0.0009796968470348253
2.0,288702.1048502261,3.1098492,0.87993538,0.001042761706974771
2.0,288702.3808502546,3.1148508,0.87985665,0.001110226244164838
2.0,288702.662850284,3.1198919,0.87975818,0.001179157001210584
2.0,288702.9528503148,3.1248934,0.87999451,0.001250043378339873
2.0,288703.256850346,3.1299345,0.88005358,0.001324352273278766
2.0,288703.5588503776,3.1349361,0.87997478,0.001398171932432387
2.0,288703.8668504097,3.1400166,0.87995511,0.001473458380368021
2.0,288704.1948504439,3.145097,0.87991571,0.001553634288145436
2.0,288704.5268504787,3.1501772,0.87993538,0.001634786917434799
2.0,288704.8648505136,3.155179,0.88007325,0.001717405897875627
