cycle number	time/s	Ecell/V	I/mA	Capacity/mA.h	
2.000000000000000E+000	3.431608305312768E+005	3.4322860E+000	-8.8006723E-001	2.568625575966305E-007
2.000000000000000E+000	3.431615385313509E+005	3.4272835E+000	-8.8046116E-001	1.728258508609401E-004
2.000000000000000E+000	3.431631865315228E+005	3.4222810E+000	-8.7971270E-001	5.757108692824841E-004
2.000000000000000E+000	3.431655605317706E+005	3.4172783E+000	-8.8012636E-001	1.156078652524286E-003
2.000000000000000E+000	3.431685545320828E+005	3.4122758E+000	-8.7990963E-001	1.888027961568700E-003
2.000000000000000E+000	3.431721065324536E+005	3.4072733E+000	-8.8018543E-001	2.756385832180580E-003
2.000000000000000E+000	3.431762765328884E+005	3.4022708E+000	-8.8026422E-001	3.775824571036630E-003
2.000000000000000E+000	3.431813005334120E+005	3.3972683E+000	-8.8004756E-001	5.004037671966686E-003
2.000000000000000E+000	3.431878825340988E+005	3.3922658E+000	-8.8024449E-001	6.613125170618296E-003
2.000000000000000E+000	3.432000425353674E+005	3.3872633E+000	-8.8004756E-001	9.585871513668034E-003
2.000000000000000E+000	3.433500425510136E+005	3.3838363E+000	-8.8020509E-001	4.625633266520169E-002
2.000000000000000E+000	3.435000425666599E+005	3.3819063E+000	-8.8079602E-001	8.292689590538541E-002
2.000000000000000E+000	3.436500425823061E+005	3.3807244E+000	-8.7998843E-001	1.195973533895446E-001
2.000000000000000E+000	3.438000425979523E+005	3.3795428E+000	-8.8018543E-001	1.562678216876089E-001
2.000000000000000E+000	3.439500426135985E+005	3.3782430E+000	-8.8002783E-001	1.929383213666578E-001
2.000000000000000E+000	3.441000426292447E+005	3.3769431E+000	-8.8061875E-001	2.296089197164608E-001
2.000000000000000E+000	3.442500426448910E+005	3.3754463E+000	-8.8012636E-001	2.662794739004803E-001
2.000000000000000E+000	3.444000426605372E+005	3.3741465E+000	-8.8022482E-001	3.029500275066660E-001
2.000000000000000E+000	3.445500426761834E+005	3.3711133E+000	-8.7996876E-001	3.396206451161867E-001
2.000000000000000E+000	3.447000426918296E+005	3.3694589E+000	-8.7983090E-001	3.762911836525631E-001
2.000000000000000E+000	3.448500427074758E+005	3.3678441E+000	-8.8002783E-001	4.129617978511750E-001
2.000000000000000E+000	3.450000427231221E+005	3.3663471E+000	-8.7979150E-001	4.496323508309489E-001
2.000000000000000E+000	3.451500427387683E+005	3.3647323E+000	-8.8048089E-001	4.863029451878699E-001
2.000000000000000E+000	3.453000427544145E+005	3.3631566E+000	-8.7959450E-001	5.229735170359909E-001
2.000000000000000E+000	3.454500427700607E+005	3.3612266E+000	-8.7961423E-001	5.596440794312126E-001
2.000000000000000E+000	3.456000427857069E+005	3.3591387E+000	-8.8024449E-001	5.963146580202878E-001
2.000000000000000E+000	3.457500428013531E+005	3.3570118E+000	-8.7992936E-001	6.329850672283273E-001
2.000000000000000E+000	3.459000428169994E+005	3.3548846E+000	-8.7992936E-001	6.696554756586586E-001
2.000000000000000E+000	3.460500428326456E+005	3.3527184E+000	-8.7998843E-001	7.063258848350082E-001
2.000000000000000E+000	3.462000428482918E+005	3.3503156E+000	-8.7988997E-001	7.429963169995779E-001
2.000000000000000E+000	3.463500428639380E+005	3.3477552E+000	-8.8012636E-001	7.796668018783299E-001
2.000000000000000E+000	3.465000428795842E+005	3.3453128E+000	-8.8018543E-001	8.163373367920354E-001
2.000000000000000E+000	3.466500428952305E+005	3.3423982E+000	-8.8046116E-001	8.530078335584039E-001
2.000000000000000E+000	3.468000429108767E+005	3.3392074E+000	-8.8000816E-001	8.896784070635672E-001
2.000000000000000E+000	3.469500429265229E+005	3.3356230E+000	-8.7987030E-001	9.263489017081428E-001
2.000000000000000E+000	3.471000429421691E+005	3.3317628E+000	-8.8008696E-001	9.630194550933607E-001
2.000000000000000E+000	3.472500429578153E+005	3.3271542E+000	-8.8002783E-001	9.996899698450997E-001
2.000000000000000E+000	3.473878269721875E+005	3.3221517E+000	-8.8044149E-001	1.033373972491804E+000
2.000000000000000E+000	3.475090209848285E+005	3.3171492E+000	-8.7998843E-001	1.063002230571724E+000
2.000000000000000E+000	3.476141509957947E+005	3.3121467E+000	-8.8014603E-001	1.088703321822369E+000
2.000000000000000E+000	3.477073590055173E+005	3.3071442E+000	-8.7996876E-001	1.111489813359628E+000
2.000000000000000E+000	3.477914950142931E+005	3.3021414E+000	-8.7979150E-001	1.132058509475275E+000
2.000000000000000E+000	3.478673030222002E+005	3.2971389E+000	-8.7992936E-001	1.150591199394448E+000
2.000000000000000E+000	3.479356530293298E+005	3.2921364E+000	-8.8034302E-001	1.167300718268537E+000
2.000000000000000E+000	3.479987050359063E+005	3.2871339E+000	-8.8010663E-001	1.182715022611867E+000
2.000000000000000E+000	3.480559210418751E+005	3.2821314E+000	-8.7987030E-001	1.196702574211310E+000
2.000000000000000E+000	3.481086550473752E+005	3.2770896E+000	-8.7994903E-001	1.209594442513271E+000
2.000000000000000E+000	3.481561390523287E+005	3.2720871E+000	-8.8008696E-001	1.221202837298496E+000
2.000000000000000E+000	3.482004290569481E+005	3.2670450E+000	-8.7988997E-001	1.232030417975933E+000
2.000000000000000E+000	3.482405590611340E+005	3.2620032E+000	-8.7998843E-001	1.241840969802059E+000
2.000000000000000E+000	3.482768730649219E+005	3.2570007E+000	-8.7994903E-001	1.250718611465577E+000
2.000000000000000E+000	3.483096910683448E+005	3.2519982E+000	-8.8002783E-001	1.258741600949914E+000
2.000000000000000E+000	3.483393970714435E+005	3.2469957E+000	-8.8061875E-001	1.266003816670826E+000
2.000000000000000E+000	3.483663910742588E+005	3.2419536E+000	-8.7990963E-001	1.272603045964589E+000
2.000000000000000E+000	3.483913470768621E+005	3.2369511E+000	-8.8022482E-001	1.278704013652223E+000
2.000000000000000E+000	3.484137530791992E+005	3.2319486E+000	-8.8022482E-001	1.284181604635832E+000
2.000000000000000E+000	3.484342030813331E+005	3.2269461E+000	-8.8016570E-001	1.289181011613889E+000
2.000000000000000E+000	3.484531150833052E+005	3.2219436E+000	-8.7973237E-001	1.293804423622009E+000
2.000000000000000E+000	3.484705090851197E+005	3.2169411E+000	-8.8012636E-001	1.298056707979855E+000
2.000000000000000E+000	3.484863530867724E+005	3.2119386E+000	-8.8000816E-001	1.301930088988261E+000
2.000000000000000E+000	3.485007850882774E+005	3.2069361E+000	-8.8026422E-001	1.305458268370215E+000
2.000000000000000E+000	3.485140910896657E+005	3.2019334E+000	-8.7998843E-001	1.308711172220989E+000
2.000000000000000E+000	3.485261790909264E+005	3.1968522E+000	-8.7965363E-001	1.311666318181538E+000
2.000000000000000E+000	3.485374630921036E+005	3.1918104E+000	-8.8022482E-001	1.314424916187939E+000
2.000000000000000E+000	3.485477550931768E+005	3.1868076E+000	-8.8008696E-001	1.316941006000191E+000
2.000000000000000E+000	3.485571890941609E+005	3.1818051E+000	-8.7953544E-001	1.319247332502058E+000
