cycle number	Ecell/V	Q discharge/mA.h	Energy discharge/W.h	
2.000000000000000E+000	3.4466126E+000	0.000000000000000E+000	-2.665692867399142E-006
2.000000000000000E+000	3.4416108E+000	2.125648756863343E-004	-3.397659996197157E-006
2.000000000000000E+000	3.4366093E+000	6.496611485920019E-004	-4.899789098755415E-006
2.000000000000000E+000	3.4315684E+000	1.198719520804783E-003	-6.783920449904930E-006
2.000000000000000E+000	3.4265666E+000	1.830406605241199E-003	-8.948438315591206E-006
2.000000000000000E+000	3.4215257E+000	2.528099409511520E-003	-1.133561218781559E-005
2.000000000000000E+000	3.4164453E+000	3.292284759353432E-003	-1.394640960043713E-005
2.000000000000000E+000	3.4114437E+000	4.127853581313458E-003	-1.679690560265812E-005
2.000000000000000E+000	3.4064419E+000	5.052895610402856E-003	-1.994800755474486E-005
2.000000000000000E+000	3.4014010E+000	6.077188795941572E-003	-2.343203946431078E-005
2.000000000000000E+000	3.3963993E+000	7.244730335445040E-003	-2.739747668459437E-005
2.000000000000000E+000	3.3913977E+000	8.557978126543265E-003	-3.185122224204792E-005
2.000000000000000E+000	3.3863962E+000	1.014013095356110E-002	-3.720901851528178E-005
2.000000000000000E+000	3.3813550E+000	1.236961253729546E-002	-4.474768732113924E-005
2.000000000000000E+000	3.3763535E+000	1.696156663471212E-002	-6.025174762023143E-005
2.000000000000000E+000	3.3739116E+000	2.429540530102535E-002	-8.499547110974412E-005
2.000000000000000E+000	3.3730452E+000	3.162925729301655E-002	-1.097328854133566E-004
2.000000000000000E+000	3.3725333E+000	3.896309417794562E-002	-1.344664946813501E-004
2.000000000000000E+000	3.3721395E+000	4.629690653450373E-002	-1.591971326763106E-004
2.000000000000000E+000	3.3717062E+000	5.363073316938761E-002	-1.839246417579816E-004
2.000000000000000E+000	3.3712337E+000	6.096456868526422E-002	-2.086487152118727E-004
2.000000000000000E+000	3.3707612E+000	6.829840175205221E-002	-2.333693148385925E-004
2.000000000000000E+000	3.3703673E+000	7.563224725521688E-002	-2.580870678220277E-004
2.000000000000000E+000	3.3698552E+000	8.296609924796969E-002	-2.828010868426831E-004
2.000000000000000E+000	3.3693826E+000	9.029994630645133E-002	-3.075116236582263E-004
2.000000000000000E+000	3.3688314E+000	9.763380156967789E-002	-3.322181455234585E-004
