cycle number	time/s	Ecell/V	I/mA	Capacity/mA.h	
2.000000000000000E+000	3.714489314819556E+005	3.0411260E+000	8.7983698E-001	4.887983202934265E-007
2.000000000000000E+000	3.714489534819573E+005	3.0462852E+000	8.7991571E-001	5.865842236412897E-006
2.000000000000000E+000	3.714489954819623E+005	3.0512867E+000	8.7995511E-001	1.613124108976788E-005
2.000000000000000E+000	3.714490594819689E+005	3.0563278E+000	8.7983698E-001	3.177385903067059E-005
2.000000000000000E+000	3.714491434819773E+005	3.0614476E+000	8.7987632E-001	5.230441626575257E-005
2.000000000000000E+000	3.714492454819884E+005	3.0664492E+000	8.7997478E-001	7.723550385899014E-005
2.000000000000000E+000	3.714493634820003E+005	3.0714509E+000	8.7985665E-001	1.060767044292556E-004
2.000000000000000E+000	3.714494954820145E+005	3.0765705E+000	8.7995511E-001	1.383397118581666E-004
2.000000000000000E+000	3.714496414820291E+005	3.0815723E+000	8.7985665E-001	1.740255326363775E-004
2.000000000000000E+000	3.714498014820460E+005	3.0866528E+000	8.7989604E-001	2.131329305966695E-004
2.000000000000000E+000	3.714499714820636E+005	3.0916936E+000	8.7997478E-001	2.546843748953607E-004
2.000000000000000E+000	3.714501514820829E+005	3.0968134E+000	8.8011265E-001	2.986809922258059E-004
2.000000000000000E+000	3.714503414821026E+005	3.1018939E+000	8.7987632E-001	3.451209664675925E-004
2.000000000000000E+000	3.714505394821232E+005	3.1069348E+000	8.7989604E-001	3.935156527823872E-004
2.000000000000000E+000	3.714507414821442E+005	3.1120939E+000	8.8003385E-001	4.428886139723990E-004
2.000000000000000E+000	3.714509554821663E+005	3.1171350E+000	8.7993538E-001	4.951942444509930E-004
2.000000000000000E+000	3.714511654821886E+005	3.1221366E+000	8.8001418E-001	5.465230006310675E-004
2.000000000000000E+000	3.714513894822123E+005	3.1271384E+000	8.7987632E-001	6.012729180521436E-004
2.000000000000000E+000	3.714516134822350E+005	3.1321399E+000	8.7989604E-001	6.560232294599216E-004
2.000000000000000E+000	3.714518374822587E+005	3.1371415E+000	8.7995511E-001	7.107735627227360E-004
2.000000000000000E+000	3.714520714822831E+005	3.1421432E+000	8.8003385E-001	7.679682593875461E-004
2.000000000000000E+000	3.714523094823079E+005	3.1472235E+000	8.7995511E-001	8.261412639088101E-004
2.000000000000000E+000	3.714525534823332E+005	3.1523433E+000	8.7985665E-001	8.857794270912807E-004
2.000000000000000E+000	3.714528014823589E+005	3.1573451E+000	8.7987632E-001	9.463962369494969E-004
2.000000000000000E+000	3.714530434823846E+005	3.1623466E+000	8.7987632E-001	1.005545732875665E-003
2.000000000000000E+000	3.714532994824108E+005	3.1673877E+000	8.8003385E-001	1.068117429845863E-003
2.000000000000000E+000	3.714535554824378E+005	3.1723893E+000	8.7987632E-001	1.130689279900657E-003
2.000000000000000E+000	3.714538154824646E+005	3.1773908E+000	8.7995511E-001	1.194238770239883E-003
2.000000000000000E+000	3.714540794824921E+005	3.1823926E+000	8.7987632E-001	1.258766065107452E-003
2.000000000000000E+000	3.714543534825211E+005	3.1873941E+000	8.7983698E-001	1.325736760662662E-003
2.000000000000000E+000	3.714546194825489E+005	3.1923957E+000	8.7979758E-001	1.390752525693841E-003
2.000000000000000E+000	3.714548974825777E+005	3.1973975E+000	8.7993538E-001	1.458701200849480E-003
2.000000000000000E+000	3.714551814826075E+005	3.2023990E+000	8.7991571E-001	1.528116380406751E-003
2.000000000000000E+000	3.714554674826371E+005	3.2074008E+000	8.7983698E-001	1.598020380073124E-003
2.000000000000000E+000	3.714557514826667E+005	3.2124023E+000	8.7995511E-001	1.667435822221968E-003
2.000000000000000E+000	3.714560414826972E+005	3.2174039E+000	8.7991571E-001	1.738316860695680E-003
2.000000000000000E+000	3.714563454827287E+005	3.2224057E+000	8.7989604E-001	1.812620493703419E-003
2.000000000000000E+000	3.714566514827609E+005	3.2274859E+000	8.7991571E-001	1.887413636048635E-003
2.000000000000000E+000	3.714569674827936E+005	3.2324877E+000	8.7987632E-001	1.964651021758716E-003
2.000000000000000E+000	3.714572714828253E+005	3.2376075E+000	8.7983698E-001	2.038952958981197E-003
2.000000000000000E+000	3.714575874828584E+005	3.2426484E+000	8.7989604E-001	2.116189720829329E-003
2.000000000000000E+000	3.714579214828936E+005	3.2476895E+000	8.7991571E-001	2.197827078832521E-003
2.000000000000000E+000	3.714582434829269E+005	3.2527304E+000	8.7993538E-001	2.276530322929224E-003
2.000000000000000E+000	3.714585754829617E+005	3.2577715E+000	8.7985665E-001	2.357678029239179E-003
2.000000000000000E+000	3.714589054829958E+005	3.2627730E+000	8.7993538E-001	2.438336751030552E-003
2.000000000000000E+000	3.714592434830312E+005	3.2678142E+000	8.7997478E-001	2.520950983398492E-003
2.000000000000000E+000	3.714595914830675E+005	3.2728550E+000	8.7991571E-001	2.606008725994164E-003
2.000000000000000E+000	3.714599294831026E+005	3.2778568E+000	8.7991571E-001	2.688622838291859E-003
2.000000000000000E+000	3.714602854831396E+005	3.2828977E+000	8.7991571E-001	2.775637185242443E-003
2.000000000000000E+000	3.714606334831761E+005	3.2878995E+000	8.7985665E-001	2.860695037378207E-003
2.000000000000000E+000	3.714609954832140E+005	3.2929404E+000	8.7987632E-001	2.949174926148522E-003
2.000000000000000E+000	3.714613554832516E+005	3.2979815E+000	8.7991571E-001	3.037167241871358E-003
2.000000000000000E+000	3.714617274832902E+005	3.3029830E+000	8.7985665E-001	3.128091297017205E-003
2.000000000000000E+000	3.714620954833284E+005	3.3079846E+000	8.7993538E-001	3.218038280970521E-003
2.000000000000000E+000	3.714624954833705E+005	3.3130257E+000	8.7997478E-001	3.315806081460583E-003
2.000000000000000E+000	3.714628774834098E+005	3.3180666E+000	8.7991571E-001	3.409174861245686E-003
2.000000000000000E+000	3.714632794834520E+005	3.3231077E+000	8.7989604E-001	3.507431963251698E-003
2.000000000000000E+000	3.714636774834935E+005	3.3281093E+000	8.7999451E-001	3.604711873432002E-003
2.000000000000000E+000	3.714640874835365E+005	3.3331110E+000	8.7987632E-001	3.704924540718398E-003
2.000000000000000E+000	3.714645294835824E+005	3.3382308E+000	8.7987632E-001	3.812958692113560E-003
2.000000000000000E+000	3.714649794836296E+005	3.3432717E+000	8.7991571E-001	3.922948463029333E-003
2.000000000000000E+000	3.714654374836772E+005	3.3482735E+000	8.8001418E-001	4.034893405603039E-003
2.000000000000000E+000	3.714659074837260E+005	3.3532751E+000	8.8001418E-001	4.149771761496863E-003
2.000000000000000E+000	3.714663994837776E+005	3.3583159E+000	8.7995511E-001	4.270025509099167E-003
2.000000000000000E+000	3.714669094838304E+005	3.3633177E+000	8.7995511E-001	4.394680290487079E-003
2.000000000000000E+000	3.714674514838876E+005	3.3683193E+000	8.7985665E-001	4.527155812117789E-003
2.000000000000000E+000	3.714680194839463E+005	3.3733208E+000	8.7989604E-001	4.665986827545696E-003
2.000000000000000E+000	3.714686414840110E+005	3.3783226E+000	8.7997478E-001	4.818016710182032E-003
2.000000000000000E+000	3.714692954840800E+005	3.3833241E+000	8.7995511E-001	4.977867682543067E-003
2.000000000000000E+000	3.714700094841542E+005	3.3883259E+000	8.7989604E-001	5.152383315430748E-003
2.000000000000000E+000	3.714707854842348E+005	3.3933668E+000	8.7993538E-001	5.342054747773542E-003
2.000000000000000E+000	3.714716674843272E+005	3.3983684E+000	8.7989604E-001	5.557633496688473E-003
2.000000000000000E+000	3.714726454844289E+005	3.4033701E+000	8.7989604E-001	5.796677419841290E-003
2.000000000000000E+000	3.714737554845447E+005	3.4084506E+000	8.7995511E-001	6.067984525594448E-003
2.000000000000000E+000	3.714749934846740E+005	3.4134521E+000	8.7997478E-001	6.370577490263516E-003
2.000000000000000E+000	3.714764074848213E+005	3.4184537E+000	8.7995511E-001	6.716188972493014E-003
2.000000000000000E+000	3.714779594849832E+005	3.4234555E+000	8.7987632E-001	7.095530732307170E-003
2.000000000000000E+000	3.714797534851702E+005	3.4284570E+000	8.7995511E-001	7.534021112852627E-003
2.000000000000000E+000	3.714817074853741E+005	3.4334981E+000	8.7985665E-001	8.011621823476421E-003
2.000000000000000E+000	3.714838574855989E+005	3.4384997E+000	8.7987632E-001	8.537129330005911E-003
2.000000000000000E+000	3.714861954858424E+005	3.4435012E+000	8.7993538E-001	9.108588658935494E-003
2.000000000000000E+000	3.714886974861035E+005	3.4485424E+000	8.7989604E-001	9.720130629605717E-003
2.000000000000000E+000	3.714913874863843E+005	3.4535439E+000	8.7995511E-001	1.037762669738796E-002
2.000000000000000E+000	3.714942514866826E+005	3.4585457E+000	8.7989604E-001	1.107765391720666E-002
2.000000000000000E+000	3.714973134870019E+005	3.4635472E+000	8.7989604E-001	1.182607732176781E-002
2.000000000000000E+000	3.715006794873532E+005	3.4685881E+000	8.7989604E-001	1.264880523526006E-002
2.000000000000000E+000	3.715043454877355E+005	3.4736292E+000	8.7993538E-001	1.354485878030459E-002
2.000000000000000E+000	3.715083054881487E+005	3.4786308E+000	8.7999451E-001	1.451277301692300E-002
2.000000000000000E+000	3.715127534886124E+005	3.4836719E+000	8.7991571E-001	1.559996437791321E-002
2.000000000000000E+000	3.715176974891284E+005	3.4886734E+000	8.7997478E-001	1.680838762025038E-002
2.000000000000000E+000	3.715232954897126E+005	3.4937146E+000	8.8001418E-001	1.817666787210438E-002
2.000000000000000E+000	3.715305754904719E+005	3.4987161E+000	8.7991571E-001	1.995606125043498E-002
2.000000000000000E+000	3.715419114916539E+005	3.5037179E+000	8.7983698E-001	2.272684224294291E-002
2.000000000000000E+000	3.715719114947831E+005	3.5066714E+000	8.7991571E-001	3.005952646762132E-002
2.000000000000000E+000	3.716019114979124E+005	3.5050569E+000	8.7995511E-001	3.739220677326122E-002
2.000000000000000E+000	3.716319115010416E+005	3.5028119E+000	8.7999451E-001	4.472489951064189E-002
2.000000000000000E+000	3.716619115041709E+005	3.5009215E+000	8.8001418E-001	5.205759678867128E-002
2.000000000000000E+000	3.716919115073001E+005	3.4995432E+000	8.7989604E-001	5.939026624470949E-002
2.000000000000000E+000	3.717219115104293E+005	3.4984798E+000	8.7985665E-001	6.672293810741768E-002
2.000000000000000E+000	3.717519115135586E+005	3.4976528E+000	8.7993538E-001	7.405561194972858E-002
2.000000000000000E+000	3.717819115166878E+005	3.4969833E+000	8.8001418E-001	8.138828360375429E-002
2.000000000000000E+000	3.718119115198171E+005	3.4964321E+000	8.7997478E-001	8.872096046715973E-002
2.000000000000000E+000	3.718419115229463E+005	3.4960775E+000	8.8001418E-001	9.605364752633702E-002
2.000000000000000E+000	3.718719115260756E+005	3.4957623E+000	8.7983698E-001	1.033863201113542E-001
2.000000000000000E+000	3.719019115292048E+005	3.4954474E+000	8.7979758E-001	1.107190018654201E-001
2.000000000000000E+000	3.719319115323341E+005	3.4952898E+000	8.7985665E-001	1.180516713859306E-001
2.000000000000000E+000	3.719619115354633E+005	3.4952505E+000	8.7995511E-001	1.253843468376994E-001
2.000000000000000E+000	3.719919115385925E+005	3.4951718E+000	8.7991571E-001	1.327170328456825E-001
2.000000000000000E+000	3.720219115417218E+005	3.4951718E+000	8.7995511E-001	1.400497388652960E-001
2.000000000000000E+000	3.720519115448510E+005	3.4951718E+000	8.7997478E-001	1.473824597727590E-001
2.000000000000000E+000	3.720819115479803E+005	3.4951718E+000	8.7987632E-001	1.547151825174027E-001
2.000000000000000E+000	3.721119115511095E+005	3.4952505E+000	8.7987632E-001	1.620478951657481E-001
2.000000000000000E+000	3.721419115542388E+005	3.4954474E+000	8.7983698E-001	1.693806169491344E-001
2.000000000000000E+000	3.721719115573680E+005	3.4956443E+000	8.8003385E-001	1.767133228128486E-001
2.000000000000000E+000	3.722019115604972E+005	3.4957230E+000	8.7985665E-001	1.840460027817554E-001
2.000000000000000E+000	3.722319115636265E+005	3.4959593E+000	8.8001418E-001	1.913786928163303E-001
2.000000000000000E+000	3.722619115667557E+005	3.4961956E+000	8.7997478E-001	1.987113852364487E-001
2.000000000000000E+000	3.722919115698850E+005	3.4963531E+000	8.7995511E-001	2.060440844294429E-001
2.000000000000000E+000	3.723219115730142E+005	3.4967077E+000	8.7995511E-001	2.133767869584428E-001
2.000000000000000E+000	3.723519115761435E+005	3.4967864E+000	8.7993538E-001	2.207094990165035E-001
2.000000000000000E+000	3.723819115792727E+005	3.4971409E+000	8.7987632E-001	2.280422065668636E-001
2.000000000000000E+000	3.724119115824020E+005	3.4973772E+000	8.7987632E-001	2.353748953664965E-001
2.000000000000000E+000	3.724419115855312E+005	3.4975348E+000	8.7993538E-001	2.427075931143429E-001
2.000000000000000E+000	3.724719115886604E+005	3.4977710E+000	8.8003385E-001	2.500403066136440E-001
2.000000000000000E+000	3.725019115917897E+005	3.4980860E+000	8.7997478E-001	2.573730206383268E-001
