cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
2.0,9997.999,4.2545276,1.0204971,4.375205072938887,-13.488226305461051
2.0,6812.999,4.2604814,0.93981671,4.362906967623901,-12.43962147776563
2.0,4642.0,4.4941764,0.85220248,4.574261752592991,-10.737157971689243
2.0,3162.0007,4.6819572,0.76597542,4.744200835406952,-9.291365515821107
2.0,2154.0,4.8407006,0.6975773,4.89070510134435,-8.200251476922745
2.0,1467.9995,4.971426,0.6502158,5.013766753653947,-7.451452966870053
2.0,998.00061,5.0927348,0.63137478,5.131723088393516,-7.067217463283087
2.0,680.99933,5.2158518,0.63737732,5.254651258419879,-6.967004728325128
2.0,463.99887,5.345098,0.66730291,5.386591297221135,-7.1162102211252565
2.0,316.00006,5.4878383,0.7200225,5.53487141742725,-7.474699943763195
2.0,215.00046,5.6536479,0.79211462,5.708868552383402,-7.975612902686568
2.0,146.99995,5.8402042,0.87175494,5.904908278128631,-8.489737258671006
2.0,102.00077,6.047349,0.95862556,6.122858228971688,-9.007574885963741
2.0,68.000511,6.3166475,1.0556201,6.4042462034793965,-9.487433331808022
2.0,46.000347,6.6120448,1.1363493,6.70898100823199,-9.751617775671201
2.0,32.00024,6.9111271,1.1934085,7.0134087033500805,-9.797178918372355
2.0,22.000166,7.2321525,1.2187215,7.334119707082677,-9.565294671728639
2.0,14.99895,7.5502987,1.2132093,7.647148963164519,-9.128463496298425
2.0,10.000075,7.8627181,1.192324,7.952607901879962,-8.622793445902676
2.0,6.998889,8.1106863,1.1844968,8.196722816236859,-8.308823365383205
2.0,4.9988737,8.3243027,1.1971474,8.409945144800533,-8.183796453279575
2.0,2.9988587,8.634223,1.2842454,8.72920918876104,-8.46009053306304
2.0,2.000015,8.899869,1.4211264,9.01261718159259,-9.072369638667848
2.0,0.99884343,9.3604193,1.7991384,9.531754741608024,-10.87996515476325
2.0,0.99884343,9.3639841,1.8229817,9.539783042794406,-11.016552447531103
2.0,0.0,0.0,0.0,0.0,
