cycle number	time/s	Ecell/V	I/mA	Capacity/mA.h	
2.000000000000000E+000	3.912932555518793E+005	3.0841951E+000	8.8001484E-001	4.888971315489875E-007
2.000000000000000E+000	3.912932695518807E+005	3.0893178E+000	8.7989664E-001	3.911133342319065E-006
2.000000000000000E+000	3.912932995518837E+005	3.0945191E+000	8.8007396E-001	1.124467800060908E-005
2.000000000000000E+000	3.912933475518888E+005	3.0996416E+000	8.7995571E-001	2.297848290867276E-005
2.000000000000000E+000	3.912934135518959E+005	3.1047642E+000	8.8015276E-001	3.911312828461329E-005
2.000000000000000E+000	3.912934975519048E+005	3.1098080E+000	8.8005424E-001	5.964761806858910E-005
2.000000000000000E+000	3.912935995519152E+005	3.1149700E+000	8.8003457E-001	8.458189742432700E-005
2.000000000000000E+000	3.912937155519275E+005	3.1200137E+000	8.8021189E-001	1.129386758142047E-004
2.000000000000000E+000	3.912938475519409E+005	3.1250181E+000	8.8009363E-001	1.452069266306029E-004
2.000000000000000E+000	3.912939855519552E+005	3.1300619E+000	8.7973899E-001	1.789412010378308E-004
2.000000000000000E+000	3.912941315519707E+005	3.1350663E+000	8.8007396E-001	2.146318850583500E-004
2.000000000000000E+000	3.912942895519873E+005	3.1401100E+000	8.7997544E-001	2.532557000054253E-004
2.000000000000000E+000	3.912944555520043E+005	3.1451144E+000	8.8007396E-001	2.938356398873859E-004
2.000000000000000E+000	3.912946275520222E+005	3.1501188E+000	8.8001484E-001	3.358827856183052E-004
2.000000000000000E+000	3.912948095520416E+005	3.1551232E+000	8.7993604E-001	3.803734758165148E-004
2.000000000000000E+000	3.912949995520613E+005	3.1601670E+000	8.8001484E-001	4.268209036191305E-004
2.000000000000000E+000	3.912951955520818E+005	3.1652501E+000	8.8007396E-001	4.747347275084920E-004
2.000000000000000E+000	3.912954035521036E+005	3.1703334E+000	8.7983751E-001	5.255814417865542E-004
2.000000000000000E+000	3.912956195521262E+005	3.1753378E+000	8.8007396E-001	5.783839961555270E-004
2.000000000000000E+000	3.912958355521485E+005	3.1803422E+000	8.7997544E-001	6.311867915259468E-004
2.000000000000000E+000	3.912960675521726E+005	3.1853859E+000	8.8005424E-001	6.879010595215693E-004
2.000000000000000E+000	3.912963035521973E+005	3.1903903E+000	8.7999517E-001	7.455923006600805E-004
2.000000000000000E+000	3.912965515522230E+005	3.1953945E+000	8.7995571E-001	8.062172419163917E-004
2.000000000000000E+000	3.912968115522503E+005	3.2004385E+000	8.7995571E-001	8.697760040230222E-004
2.000000000000000E+000	3.912970795522779E+005	3.2054427E+000	8.8017249E-001	9.352906172805363E-004
2.000000000000000E+000	3.912973495523063E+005	3.2104867E+000	8.8003457E-001	1.001294609275129E-003
2.000000000000000E+000	3.912976355523365E+005	3.2154908E+000	8.7997544E-001	1.071209986441665E-003
2.000000000000000E+000	3.912979275523666E+005	3.2206528E+000	8.7999517E-001	1.142591923740175E-003
2.000000000000000E+000	3.912982355523985E+005	3.2256968E+000	8.8001484E-001	1.217885607116752E-003
2.000000000000000E+000	3.912985495524313E+005	3.2307405E+000	8.8001484E-001	1.294645511276192E-003
2.000000000000000E+000	3.912988635524642E+005	3.2357450E+000	8.8007396E-001	1.371405426495605E-003
2.000000000000000E+000	3.912991975524994E+005	3.2407491E+000	8.7995571E-001	1.453054192596012E-003
2.000000000000000E+000	3.912995375525346E+005	3.2457535E+000	8.8015276E-001	1.536170416408115E-003
2.000000000000000E+000	3.912998875525715E+005	3.2507579E+000	8.7991631E-001	1.621731443040901E-003
2.000000000000000E+000	3.913002515526090E+005	3.2557623E+000	8.7999517E-001	1.710715319116910E-003
2.000000000000000E+000	3.913006215526478E+005	3.2608454E+000	8.7999517E-001	1.801164343191518E-003
2.000000000000000E+000	3.913010115526887E+005	3.2658498E+000	8.8003457E-001	1.896502436929279E-003
2.000000000000000E+000	3.913013995527290E+005	3.2708542E+000	8.7999517E-001	1.991352093352212E-003
2.000000000000000E+000	3.913018075527716E+005	3.2759376E+000	8.8013303E-001	2.091091334190634E-003
2.000000000000000E+000	3.913022255528150E+005	3.2810206E+000	8.8011336E-001	2.193275498747826E-003
2.000000000000000E+000	3.913026555528599E+005	3.2860250E+000	8.8009363E-001	2.298394020001094E-003
