cycle number,time/s,Ecell/V,I/mA,Capacity/mA.h
2.0,394531.3078896347,3.0911803,0.87957031,4.886501696374682e-07
2.0,394531.3158896351,3.0968146,0.87982643,2.443491617838542e-06
2.0,394531.3298896365,3.1018581,0.87953091,5.864436758889092e-06
2.0,394531.3558896398,3.1071379,0.8796885,1.221770965390735e-05
2.0,394531.3938896433,3.1122601,0.8796885,2.150318996773826e-05
2.0,394531.445889649,3.1173036,0.8797673,3.421056770616107e-05
2.0,394531.5158896558,3.1224654,0.8797279,5.131637695762846e-05
2.0,394531.6018896652,3.1275086,0.87988549,7.233193470372094e-05
2.0,394531.7078896761,3.1325915,0.87974757,9.82346945338779e-05
2.0,394531.8338896893,3.1377137,0.87970817,0.0001290245686637031
2.0,394531.9798897048,3.1427178,0.8796491,0.0001647025861673885
2.0,394532.1438897215,3.1477218,0.8798461,0.0002047783894671335
2.0,394532.3298897408,3.1528835,0.8796097,0.0002502311286330224
2.0,394532.5338897621,3.1580057,0.8798067,0.0003000813142789736
2.0,394532.7518897851,3.1630492,0.87962937,0.0003533528500133091
2.0,394532.9778898088,3.1681321,0.8797279,0.0004085807266500261
2.0,394533.2138898335,3.1732149,0.8796885,0.0004662505732973417
2.0,394533.4558898583,3.1782188,0.87958997,0.000525387454032898
2.0,394533.7078898847,3.1832228,0.87970817,0.0005869683738880687
2.0,394533.9718899122,3.1883056,0.87978703,0.0006514815010958248
2.0,394534.2458899412,3.1933885,0.8798067,0.0007184376492102941
2.0,394534.52388997,3.1984713,0.87955058,0.0007863716119196679
2.0,394534.8138900001,3.2035542,0.8797673,0.0008572390954362021
2.0,394535.111890031,3.2085583,0.87966877,0.0009300600740644666
2.0,394535.4178900635,3.2135623,0.87978703,0.001004837393826909
2.0,394535.7338900967,3.2185662,0.8798461,0.001082058303654194
2.0,394536.0498901289,3.2236097,0.87974757,0.001159278556803862
2.0,394536.3958901651,3.2286139,0.87988549,0.001243829766313235
2.0,394536.7358902004,3.2336178,0.87970817,0.001326913854347335
2.0,394537.0878902376,3.2386217,0.87982643,0.001412932294938299
2.0,394537.4478902752,3.2437441,0.87966877,0.001500903606745932
2.0,394537.8298903145,3.2487481,0.87970817,0.001594252533184158
2.0,394538.2078903541,3.253752,0.87978703,0.001686621827979883
2.0,394538.6018903954,3.2587562,0.87994462,0.001782903267972999
2.0,394538.9878904354,3.2637601,0.87982643,0.00187722954902384
2.0,394539.3918904774,3.2688036,0.8797279,0.001975954896410306
2.0,394539.8218905227,3.2738075,0.87990522,0.002081031492054463
2.0,394540.2538905675,3.2788117,0.8797673,0.002186597580611706
2.0,394540.6858906127,3.2838156,0.8797673,0.002292164708971978
2.0,394541.1258906585,3.2888985,0.8796491,0.002399685835937659
2.0,394541.5778907062,3.2939026,0.8798461,0.002510139039158821
2.0,394542.0518907551,3.2989066,0.8798461,0.002625970108376609
2.0,394542.5258908048,3.3039105,0.8796491,0.002741799940731791
2.0,394543.0018908542,3.3089147,0.87974757,0.002858119123909209
2.0,394543.5118909078,3.3139579,0.87966877,0.002982748260067569
2.0,394544.0018909585,3.3189621,0.87986583,0.003102489384280311
2.0,394544.5318910137,3.3240056,0.8796885,0.003232004069851505
2.0,394545.051891068,3.3290095,0.8798461,0.003359074442717764
2.0,394545.5818911232,3.3340135,0.87970817,0.003488587902055847
2.0,394546.12589118,3.3390176,0.8797279,0.003621523685687118
2.0,394546.6998912403,3.3441792,0.87945205,0.003761790634161896
2.0,394547.285891301,3.3491833,0.8798067,0.003904990304013093
2.0,394547.8778913626,3.3541873,0.8798461,0.004049655913743708
2.0,394548.4878914263,3.3592701,0.87958997,0.00419872063378493
2.0,394549.1118914913,3.3642743,0.8797279,0.004351205641892222
2.0,394549.7618915597,3.3693175,0.8798067,0.004510043835375045
2.0,394550.4498916315,3.3743217,0.87986583,0.004678170573876965
2.0,394551.1578917049,3.3793256,0.8797673,0.004851183770199618
2.0,394551.9098917833,3.3843691,0.87957031,0.005034948977596231
2.0,394552.7038918659,3.3894124,0.8797673,0.005228977457814748
2.0,394553.5638919559,3.3944559,0.8796885,0.00543913411849075
2.0,394554.4778920515,3.3994601,0.87978703,0.005662486905588045
2.0,394555.4738921551,3.404464,0.8796491,0.005905877961251472
2.0,394556.5578922685,3.4094679,0.87978703,0.006170775512158872
2.0,394557.7418923918,3.4145904,0.8796491,0.006460105407370463
2.0,394559.0718925307,3.4195943,0.87974757,0.006785116121371589
2.0,394560.5518926848,3.4245982,0.87974757,0.007146779778566627
2.0,394562.1938928561,3.4296811,0.8796097,0.007548031376732722
2.0,394564.0418930491,3.4346852,0.8798461,0.007999622412886886
2.0,394566.0398932574,3.4396892,0.87990522,0.008487867815130288
2.0,394568.2738934904,3.4446933,0.87970817,0.009033788109554186
2.0,394570.687893742,3.4496973,0.87957031,0.009623691767685945
2.0,394573.3118940159,3.4547012,0.8796491,0.01026491449462043
2.0,394576.1638943134,3.4597054,0.8796491,0.01096185156014231
2.0,394579.2238946324,3.4647489,0.8796491,0.01170961618744665
2.0,394582.4818949727,3.4697528,0.87957031,0.01250576591471831
2.0,394586.0438953443,3.4747567,0.8796885,0.01337620434502761
2.0,394589.84189574,3.4797609,0.87966877,0.01430431366069449
2.0,394594.031896177,3.4847648,0.87970817,0.01532821357829703
2.0,394598.483896642,3.489769,0.8797279,0.01641614265683625
2.0,394603.6098971758,3.4947729,0.8797279,0.01766877681778537
2.0,394609.5718977982,3.4998558,0.87957031,0.01912569660213259
2.0,394616.9458985673,3.5048597,0.8796097,0.02092766112251414
2.0,394626.3318995461,3.5099032,0.8796491,0.02322129721121656
2.0,394643.3419013205,3.5149074,0.87982643,0.02737798632376724
2.0,394673.3419044497,3.5168378,0.87962937,0.0347090120792389
2.0,394703.341907579,3.5159316,0.87957031,0.04204004745450286
2.0,394733.3419107082,3.5145919,0.8797279,0.04937108863254389
2.0,394763.3419138375,3.5131736,0.87978703,0.05670212862829369
2.0,394793.3419169667,3.5118339,0.8796885,0.06403316530611781
2.0,394823.341920096,3.5107307,0.8796491,0.07136419860190817
2.0,394853.3419232252,3.5097456,0.8797673,0.07869522866086828
2.0,394883.3419263544,3.5089576,0.8796885,0.08602624473876425
2.0,394913.3419294837,3.5084059,0.87982643,0.0933572934915291
2.0,394943.3419326129,3.5077755,0.8798067,0.1006883343841632
2.0,394973.3419357422,3.5073028,0.8796491,0.1080193695204457
2.0,395003.3419388714,3.5071056,0.87966877,0.115350405050483
2.0,395033.3419420007,3.5067117,0.8796491,0.1226814434720741
2.0,395063.3419451299,3.5066328,0.87970817,0.1300124757526981
