cycle number	time/s	Ecell/V	I/mA	Capacity/mA.h	
2.000000000000000E+000	4.037259288487080E+005	3.4236526E+000	-8.8023406E-001	7.820533919665548E-007
2.000000000000000E+000	4.037261808487345E+005	3.4186487E+000	-8.8025373E-001	6.239896190249258E-005
2.000000000000000E+000	4.037270948488296E+005	3.4136446E+000	-8.8031286E-001	2.858822260838416E-004
2.000000000000000E+000	4.037286848489956E+005	3.4086406E+000	-8.8019466E-001	6.746563239105874E-004
2.000000000000000E+000	4.037310548492428E+005	3.4036365E+000	-8.8017493E-001	1.254148751385510E-003
2.000000000000000E+000	4.037341928495700E+005	3.3985932E+000	-8.8005674E-001	2.021428119064205E-003
2.000000000000000E+000	4.037382808499965E+005	3.3935890E+000	-8.8023406E-001	3.020984827466309E-003
2.000000000000000E+000	4.037432508505147E+005	3.3885458E+000	-8.8009614E-001	4.236204841720562E-003
2.000000000000000E+000	4.037493828511545E+005	3.3835416E+000	-8.8003701E-001	5.735551151620845E-003
2.000000000000000E+000	4.037578688520398E+005	3.3785377E+000	-8.8013554E-001	7.810472888040047E-003
2.000000000000000E+000	4.037715768534699E+005	3.3735335E+000	-8.8021433E-001	1.116223266451309E-002
2.000000000000000E+000	4.037986708562961E+005	3.3685296E+000	-8.8033253E-001	1.778697525112579E-002
2.000000000000000E+000	4.038286708594253E+005	3.3653774E+000	-8.8031286E-001	2.512225587542272E-002
2.000000000000000E+000	4.038586708625546E+005	3.3629346E+000	-8.8035226E-001	3.245754560634908E-002
2.000000000000000E+000	4.038886708656838E+005	3.3610826E+000	-8.8021433E-001	3.979283072725352E-002
2.000000000000000E+000	4.039186708688131E+005	3.3593094E+000	-8.8037199E-001	4.712812785607659E-002
2.000000000000000E+000	4.039486708719423E+005	3.3578911E+000	-8.8011581E-001	5.446339712903317E-002
2.000000000000000E+000	4.039786708750715E+005	3.3566301E+000	-8.8021433E-001	6.179867785111483E-002
2.000000000000000E+000	4.040086708782008E+005	3.3553693E+000	-8.8019466E-001	6.913395644044296E-002
2.000000000000000E+000	4.040386708813300E+005	3.3542266E+000	-8.8013554E-001	7.646924063230967E-002
2.000000000000000E+000	4.040686708844593E+005	3.3532810E+000	-8.8031286E-001	8.380453034048692E-002
2.000000000000000E+000	4.040986708875885E+005	3.3521779E+000	-8.8017493E-001	9.113982470232992E-002
2.000000000000000E+000	4.041286708907178E+005	3.3513503E+000	-8.8005674E-001	9.847509971120705E-002
2.000000000000000E+000	4.041586708938470E+005	3.3505230E+000	-8.8013554E-001	1.058103791764586E-001
2.000000000000000E+000	4.041886708969763E+005	3.3496561E+000	-8.8025373E-001	1.131456618139686E-001
2.000000000000000E+000	4.042186709001055E+005	3.3487105E+000	-8.8015527E-001	1.204809441664028E-001
2.000000000000000E+000	4.042486709032347E+005	3.3480012E+000	-8.8033253E-001	1.278162297692771E-001
2.000000000000000E+000	4.042786709063640E+005	3.3473313E+000	-8.8029313E-001	1.351515015613908E-001
2.000000000000000E+000	4.043086709094932E+005	3.3466616E+000	-8.8013554E-001	1.424867805313609E-001
2.000000000000000E+000	4.043386709126225E+005	3.3457947E+000	-8.8021433E-001	1.498220740822827E-001
2.000000000000000E+000	4.043686709157517E+005	3.3452036E+000	-8.8019466E-001	1.571573578254257E-001
2.000000000000000E+000	4.043986709188810E+005	3.3444157E+000	-8.8021433E-001	1.644926351987529E-001
2.000000000000000E+000	4.044286709220102E+005	3.3438246E+000	-8.8003701E-001	1.718279198415618E-001
2.000000000000000E+000	4.044586709251395E+005	3.3432336E+000	-8.8025373E-001	1.791632113450972E-001
2.000000000000000E+000	4.044886709282687E+005	3.3425639E+000	-8.8025373E-001	1.864984963049698E-001
2.000000000000000E+000	4.045186709313979E+005	3.3418546E+000	-8.8029313E-001	1.938337799730110E-001
2.000000000000000E+000	4.045486709345272E+005	3.3412242E+000	-8.8035226E-001	2.011690500026155E-001
2.000000000000000E+000	4.045786709376564E+005	3.3407118E+000	-8.8023406E-001	2.085043220135776E-001
2.000000000000000E+000	4.046086709407857E+005	3.3398056E+000	-8.8017493E-001	2.158395931393777E-001
2.000000000000000E+000	4.046386709439149E+005	3.3393328E+000	-8.8029313E-001	2.231748726462862E-001
2.000000000000000E+000	4.046686709470442E+005	3.3386629E+000	-8.8045079E-001	2.305101496398324E-001
2.000000000000000E+000	4.046986709501734E+005	3.3381114E+000	-8.8027346E-001	2.378454278445450E-001
2.000000000000000E+000	4.047286709533026E+005	3.3375597E+000	-8.8027346E-001	2.451807061710498E-001
2.000000000000000E+000	4.047586709564319E+005	3.3368900E+000	-8.8035226E-001	2.525159914257005E-001
2.000000000000000E+000	4.047886709595611E+005	3.3361018E+000	-8.8027346E-001	2.598512647487595E-001
2.000000000000000E+000	4.048186709626904E+005	3.3355107E+000	-8.8029313E-001	2.671865418611508E-001
2.000000000000000E+000	4.048486709658196E+005	3.3348410E+000	-8.8029313E-001	2.745218282766019E-001
2.000000000000000E+000	4.048786709689489E+005	3.3342106E+000	-8.8029313E-001	2.818571224731082E-001
2.000000000000000E+000	4.049086709720781E+005	3.3337772E+000	-8.8023406E-001	2.891924140669115E-001
