battery,Cell code,Separator,electrolyte,temperature,Formation protocol,Cycle life,Var of avg. disch. Voltage (50 cycles),Var of avg. disch. Voltage (10 cycles),Corrected cycle life,Average discharge voltage (1st cycle),Average discharge voltage (10th cycle),Average charge voltage (1st cycle),Average charge voltage (10th cycle),Var of avg. chg. Voltage (10 cycles),Average charge voltage (first 5% of capacity) - 1st cycle,Average charge voltage (first 10% of capacity) - 1st cycle,Average charge voltage (first 15% of capacity) - 1st cycle,Average charge voltage (between 5% &15% SoC) - 1st cycle,Average charge voltage (between 10% &15% SoC) - 1st cycle,Average charge voltage (between 5% &10% SoC) - 1st cycle,Avg. of Real (Z) (10 cycles),Avg. of Img (Z) (10 cycles),Average discharge voltage (first 15% of capacity) - 1st cycle,Average discharge voltage (first 10% of capacity) - 1st cycle,Average discharge voltage (first 5% of capacity) - 1st cycle,Average discharge voltage (between 5% &15% SoC) - 1st cycle,Average discharge voltage (between 10% &15% SoC) - 1st cycle,Average discharge voltage (between 5% &10% SoC) - 1st cycle,Failure mode
1,3BH4-C1,3401,P13FSI,50,C/20,210,4.48E-07,7.62E-07,210,3.286228057,3.28836,3.557418212,3.554216511,1.30E-05,3.479898,3.489837,3.496482,3.500659,3.501533,3.499784,13.88066,2.06687,3.364362,3.370127,3.382813,3.353821,3.351002,3.356357,Short circuit
2,3BH4-C2,3401,P13FSI,50,C/20,190,5.16E-07,3.79E-07,190,3.28427637,3.28542,3.559756122,3.556475839,1.08E-05,3.477942,3.488303,3.495552,3.499718,3.500719,3.498717,13.73949,1.9951,3.36346,3.370313,3.382872,3.353125,3.350264,3.356271,Short circuit
3,3BH4-C3,3401,P13FSI,50,C/20,211,7.47E-07,8.37E-07,211,3.281795457,3.28463,3.560916701,3.558264132,6.60E-06,3.477481,3.488174,3.49592,3.500757,3.502096,3.499419,13.84924,2.02239,3.363579,3.370655,3.385492,3.352788,3.349534,3.356042,Short circuit
4,3BH4-C13,3401,P1222FSI,50,C/20,203,2.51E-06,4.51E-06,203,3.281401927,3.28808,3.559765563,3.556297812,8.77E-06,3.474714,3.486363,3.495285,3.500394,3.502079,3.498709,14.4477,2.30923,3.364398,3.371278,3.386002,3.353872,3.350814,3.356929,Short circuit
5,3BH4-C14,3401,P1222FSI,50,C/20,170,1.81E-06,1.78E-06,170,3.280459417,3.28432,3.563488286,3.559997347,9.32E-06,3.477167,3.488452,3.496863,3.501557,3.503061,3.500052,14.41545,2.28012,3.362091,3.368074,3.379669,3.353424,3.350207,3.35664,Short circuit
6,3BH4-C15,3401,P1222FSI,50,C/20,204,1.69E-06,3.00E-06,204,3.281087902,3.28588,3.5610545,3.558632146,6.72E-06,3.472209,3.483818,3.492937,3.498321,3.500061,3.496582,14.00621,2.21058,3.365338,3.372074,3.385893,3.354686,3.351622,3.357751,80%
7,6BH4-C3,3501,P1222FSI,50,C/20,166,2.48E-06,8.21E-06,166,3.285090367,3.29446,3.553486867,3.548059291,1.59E-05,3.477637,3.487738,3.495147,3.498945,3.500789,3.497243,13.0909,2.16846,3.365406,3.370607,3.380625,3.357883,3.355064,3.360703,Short circuit
8,6BH4-C4,3501,P1222FSI,50,C/20,168,2.71E-06,2.88E-06,168,3.279191685,3.28499,3.56509028,3.558528257,1.92E-05,3.485891,3.493806,3.505301,3.503838,3.50539,3.502287,14.2171,2.19689,3.360807,3.365644,3.374963,3.352901,3.349729,3.355755,Short circuit
9,14BH4-C1,3501,P13FSI,50,C/20,98,4.85E-06,4.37E-06,98,3.268993633,3.2759,3.569065904,3.56445017,4.13E-06,3.492511,3.499435,3.505301,3.507854,3.508842,3.506784,15.21927,2.21348,3.35623,3.363853,3.378414,3.343701,3.339995,3.347407,Short circuit
10,14BH4-C2,3501,P13FSI,50,C/20,188,2.79E-06,6.81E-06,188,3.268926163,3.27745,3.56879661,3.563305046,4.94E-06,3.487646,3.496214,3.503304,3.506855,3.508268,3.505441,14.75777,2.17957,3.353257,3.358861,3.369292,3.345204,3.341258,3.348821,Short circuit
