battery,ACB_5_10_1,ACB_5_10_2,ACB_5_10_3,ACB_5_10_4,ACB_5_10_5,ACB_5_10_6,ACB_5_10_7,ACB_5_10_8,ACB_5_10_9,ACB_5_10_10,ACB_5_15_1,ACB_5_15_2,ACB_5_15_3,ACB_5_15_4,ACB_5_15_5,ACB_5_15_6,ACB_5_15_7,ACB_5_15_8,ACB_5_15_9,ACB_5_15_10,ACB_10_15_1,ACB_10_15_2,ACB_10_15_3,ACB_10_15_4,ACB_10_15_5,ACB_10_15_6,ACB_10_15_7,ACB_10_15_8,ACB_10_15_9,ACB_10_15_10,ADB_5_10_1,ADB_5_10_2,ADB_5_10_3,ADB_5_10_4,ADB_5_10_5,ADB_5_10_6,ADB_5_10_7,ADB_5_10_8,ADB_5_10_9,ADB_5_10_10,ADB_5_15_1,ADB_5_15_2,ADB_5_15_3,ADB_5_15_4,ADB_5_15_5,ADB_5_15_6,ADB_5_15_7,ADB_5_15_8,ADB_5_15_9,ADB_5_15_10,ADB_10_15_1,ADB_10_15_2,ADB_10_15_3,ADB_10_15_4,ADB_10_15_5,ADB_10_15_6,ADB_10_15_7,ADB_10_15_8,ADB_10_15_9,ADB_10_15_10,ACF_2_1,ACF_2_2,ACF_2_3,ACF_2_4,ACF_2_5,ACF_2_6,ACF_2_7,ACF_2_8,ACF_2_9,ACF_2_10,ACF_10_1,ACF_10_2,ACF_10_3,ACF_10_4,ACF_10_5,ACF_10_6,ACF_10_7,ACF_10_8,ACF_10_9,ACF_10_10,ACF_15_1,ACF_15_2,ACF_15_3,ACF_15_4,ACF_15_5,ACF_15_6,ACF_15_7,ACF_15_8,ACF_15_9,ACF_15_10,ACF_20_1,ACF_20_2,ACF_20_3,ACF_20_4,ACF_20_5,ACF_20_6,ACF_20_7,ACF_20_8,ACF_20_9,ACF_20_10,ADF_15_1,ADF_15_2,ADF_15_3,ADF_15_4,ADF_15_5,ADF_15_6,ADF_15_7,ADF_15_8,ADF_15_9,ADF_15_10,ADF_10_1,ADF_10_2,ADF_10_3,ADF_10_4,ADF_10_5,ADF_10_6,ADF_10_7,ADF_10_8,ADF_10_9,ADF_10_10,ADF_5_1,ADF_5_2,ADF_5_3,ADF_5_4,ADF_5_5,ADF_5_6,ADF_5_7,ADF_5_8,ADF_5_9,ADF_5_10,Corrected cycle life,Failure mode
1,3.499783993,3.494299173,3.496318839,3.496515751,3.496676856,3.496533654,3.496633898,3.496752045,3.496780677,3.497120858,3.50065866,3.495756352,3.497752764,3.497983695,3.49817703,3.498139438,3.49824505,3.498341712,3.49836501,3.498776763,3.501533329,3.497213531,3.499186688,3.499451637,3.499677204,3.499745218,3.49985621,3.499931378,3.499949345,3.500432666,3.356356812,3.357103715,3.357089409,3.357640784,3.357615706,3.358131301,3.358066814,3.358244651,3.358277503,3.358449954,3.3538205,3.354232267,3.354192899,3.354484924,3.354710249,3.355211486,3.355197178,3.355267461,3.355318844,3.355198976,3.351002376,3.351360817,3.351296382,3.351592045,3.351804798,3.352291688,3.352327544,3.352019635,3.352091204,3.352218907,3.445925142,3.488652831,3.494655523,3.494860694,3.494545894,3.493737862,3.493325735,3.492683866,3.492083845,3.49192276,3.489836613,3.492840785,3.495923528,3.496203534,3.496167854,3.495858966,3.495825307,3.495748381,3.495592544,3.495784913,3.49648209,3.49595868,3.498518434,3.498837184,3.499064999,3.498937494,3.499003949,3.499008526,3.49895893,3.499299319,3.479898116,3.491472147,3.495562479,3.495911586,3.495694382,3.495225433,3.495071177,3.494808615,3.494481837,3.494543887,3.364361668,3.364097037,3.364456003,3.364181231,3.364889267,3.365559008,3.366437095,3.36569256,3.36564434,3.365586628,3.370127032,3.370211702,3.370707869,3.370856743,3.371114226,3.371955166,3.373163455,3.372095789,3.371997805,3.372685531,3.382813258,3.382316263,3.383033323,3.383356301,3.383363989,3.384823234,3.38691704,3.386563478,3.38635838,3.386188523,210,Short circuit
2,3.498717209,3.4947751,3.496038935,3.496314903,3.496390382,3.496433059,3.496672648,3.496666074,3.49679793,3.496948302,3.49971817,3.496034999,3.497526527,3.497811286,3.49786949,3.498069832,3.498330102,3.498357506,3.498628046,3.498732475,3.50071913,3.497420884,3.499014119,3.499443705,3.499483064,3.499855409,3.500138239,3.500202701,3.50030565,3.500678844,3.356271384,3.357549863,3.357545397,3.357860428,3.357870298,3.357986664,3.35820502,3.358287078,3.358162366,3.358349429,3.353124755,3.354292509,3.354609286,3.354883228,3.354948311,3.354831908,3.355237685,3.355359257,3.355102405,3.355306167,3.350264182,3.351306598,3.35140625,3.351635369,3.351760675,3.351940036,3.352000588,3.352165267,3.351764267,3.351986232,3.443850598,3.489013957,3.493846347,3.494620678,3.493783249,3.493241107,3.492575969,3.491936214,3.49170654,3.4908188,3.488302951,3.493398686,3.49552205,3.496035385,3.495846698,3.495703243,3.495701351,3.495541468,3.495421531,3.495380403,3.495551972,3.496466805,3.498267096,3.498700573,3.498665787,3.498721528,3.498875085,3.498839163,3.498932069,3.498988836,3.477941663,3.491966809,3.49505113,3.495748422,3.495291078,3.494955572,3.494711133,3.494391768,3.494158903,3.4937806,3.363460045,3.364396288,3.364854956,3.364828876,3.365168205,3.365153851,3.365834418,3.365917695,3.365488996,3.365937404,3.370313154,3.371359065,3.371098697,3.37096876,3.371350673,3.371995078,3.372291581,3.372287704,3.371816497,3.372376984,3.382871951,3.384499985,3.385007345,3.384485992,3.384996028,3.384648571,3.386906246,3.386588347,3.3856322,3.386604799,190,Short circuit
3,3.499418576,3.496160139,3.497345144,3.497849941,3.497866353,3.497968039,3.498082638,3.49833562,3.498508625,3.498669733,3.500757495,3.497729972,3.498852331,3.499348105,3.499452549,3.499657977,3.499928518,3.500092879,3.500442149,3.50061164,3.502096414,3.499299807,3.500359514,3.500982459,3.501182947,3.50150154,3.501620571,3.50200989,3.502214552,3.502391717,3.356042012,3.356808186,3.357397362,3.357305488,3.357792681,3.357717469,3.357728799,3.357922433,3.357728777,3.357807596,3.352787794,3.353756213,3.354326444,3.354278505,3.354511342,3.354362371,3.354653464,3.354754461,3.354602069,3.354605526,3.349533579,3.350704235,3.350976336,3.350976337,3.351503452,3.351286868,3.351298552,3.351298503,3.351191129,3.351112364,3.447039155,3.490721249,3.495584977,3.495368232,3.494242657,3.493333687,3.492877376,3.492321999,3.491681504,3.49120537,3.488174185,3.494896866,3.496906269,3.497285079,3.497021447,3.496813846,3.496661891,3.496737562,3.496621366,3.496568318,3.495919828,3.498191828,3.499801314,3.500131337,3.500242816,3.500316325,3.500284724,3.500336409,3.500566947,3.500624571,3.477481304,3.493680172,3.496505531,3.496711521,3.496159139,3.495647561,3.495372421,3.495136001,3.494889481,3.49464423,3.363578524,3.364606759,3.364471394,3.364760931,3.36513815,3.365036706,3.365774371,3.36517163,3.365253794,3.365533969,3.370654616,3.371181499,3.370797075,3.371141209,3.37224141,3.372131474,3.372495955,3.371592802,3.371782595,3.372178698,3.385492042,3.384077765,3.384819591,3.385252721,3.385448639,3.385067981,3.38765479,3.385535165,3.386204804,3.386701992,211,Short circuit
4,3.498708506,3.495345917,3.496770903,3.496896824,3.497093739,3.497241438,3.49742196,3.496527498,3.497909438,3.498020497,3.500393818,3.497032801,3.498617453,3.498607191,3.498896562,3.499102031,3.49932294,3.498567819,3.499956505,3.500102073,3.50207913,3.498888374,3.500310122,3.500473045,3.500863271,3.501131771,3.501396742,3.500438115,3.501832981,3.502010185,3.356929193,3.357815661,3.358051957,3.357895944,3.358317769,3.358554085,3.358659151,3.35852458,3.35869191,3.358783829,3.353871574,3.354905377,3.355054342,3.354906331,3.355359139,3.355530375,3.355645126,3.355463584,3.355629689,3.355376272,3.350813974,3.35173052,3.351784226,3.351916703,3.352131543,3.352231784,3.352357085,3.352124319,3.352289091,3.352252682,3.444594229,3.488467604,3.492163679,3.492536856,3.49111653,3.490658672,3.490333927,3.489237982,3.489665173,3.489401309,3.486362587,3.493311335,3.495462855,3.495535347,3.495470797,3.495442218,3.495431382,3.49438891,3.495493102,3.495478296,3.495284503,3.497083137,3.498973974,3.499139304,3.499343398,3.499442125,3.49935124,3.498579086,3.499782737,3.499878641,3.474713696,3.491292522,3.49424137,3.494117114,3.493804304,3.493602104,3.493418776,3.492441318,3.493265151,3.493143947,3.364398353,3.365961074,3.3660711,3.366140855,3.366342232,3.366367704,3.36666181,3.366690423,3.367104486,3.366918349,3.371278222,3.37260743,3.372764679,3.372820275,3.372946341,3.37294894,3.373308045,3.373439223,3.373928609,3.374472258,3.386002356,3.387972636,3.388145652,3.386033046,3.387988899,3.387805537,3.388364409,3.38868209,3.389317397,3.388505251,203,Short circuit
5,3.500051914,3.495680071,3.497390249,3.497705321,3.497823515,3.49802369,3.498135249,3.498972119,3.498643916,3.498949171,3.501556672,3.497557919,3.499044914,3.499449035,3.499709317,3.499945602,3.5001699,3.501986626,3.500680148,3.501029461,3.503061435,3.499435769,3.500850004,3.501351268,3.501766552,3.50204223,3.502389518,3.505275182,3.502901489,3.50329887,3.356640492,3.358022452,3.357775409,3.358033782,3.358262368,3.358137025,3.358344641,3.358169251,3.35851953,3.358237293,3.353423619,3.354608894,3.354400019,3.354934256,3.354821257,3.354704799,3.355131387,3.354993562,3.355220237,3.35496495,3.350206743,3.351479807,3.351305903,3.351552943,3.351666889,3.351558583,3.351918116,3.351817871,3.351621003,3.351692594,3.44457968,3.489470131,3.494221439,3.493536162,3.492477762,3.490907026,3.490253684,3.489754314,3.48958385,3.489072077,3.48845241,3.493909071,3.496424898,3.496436403,3.496166891,3.496038392,3.495952378,3.496247707,3.496105528,3.496132133,3.496862693,3.497637659,3.499678581,3.499948165,3.500006581,3.500102016,3.500186761,3.501458464,3.500573691,3.500759321,3.477166718,3.492103784,3.495408888,3.495107505,3.494439768,3.493996137,3.493692547,3.493435883,3.493504951,3.493238833,3.362090526,3.363382552,3.363369559,3.363849112,3.363856634,3.364269633,3.36490161,3.364878158,3.364461944,3.364814621,3.368073991,3.369664299,3.369707826,3.36962443,3.370266985,3.370884645,3.371061978,3.371031185,3.370481458,3.37100348,3.379668635,3.380574349,3.380794066,3.381803849,3.381439974,3.382513293,3.38254414,3.38248869,3.383001165,3.38239924,170,Short circuit
6,3.496582012,3.496049708,3.497191884,3.497504273,3.49761796,3.497764739,3.497701187,3.497970323,3.498091717,3.49851183,3.498321465,3.497614341,3.498914823,3.499125429,3.499428534,3.499669942,3.499652317,3.49997888,3.500179063,3.500590971,3.500060915,3.499178972,3.500494181,3.500893961,3.501088222,3.501416384,3.501603446,3.501987439,3.502266407,3.50267011,3.357751194,3.358621207,3.358902297,3.359223922,3.359512748,3.359473346,3.35993524,3.359763386,3.360054256,3.359827842,3.354686399,3.355444191,3.356084629,3.356298649,3.356235668,3.356569206,3.356651438,3.35643568,3.356650839,3.356437371,3.351621606,3.352531929,3.353010806,3.353107453,3.352958581,3.353401056,3.353641287,3.35338527,3.353247424,3.353329459,3.433172324,3.492040516,3.49427391,3.492964095,3.491565695,3.490691222,3.489230049,3.488504192,3.48802751,3.487769609,3.483818076,3.495062868,3.496333688,3.496183953,3.495734722,3.495511487,3.495420797,3.495326224,3.495199684,3.495431179,3.492936868,3.498251245,3.499525287,3.499573331,3.499593555,3.499615183,3.499715289,3.499861608,3.49971364,3.500058146,3.472209138,3.494138788,3.495572484,3.494914038,3.494089962,3.493555629,3.493109698,3.492654369,3.492304999,3.492345492,3.365338214,3.365759116,3.366465096,3.367049877,3.366453179,3.367041962,3.367102687,3.367233515,3.367384428,3.367334672,3.372073753,3.372522807,3.372515354,3.373350023,3.373121583,3.373200201,3.373969901,3.374284389,3.374516245,3.374462549,3.385892562,3.384788175,3.385624496,3.387083094,3.386415903,3.386521051,3.386297814,3.386993258,3.389239628,3.387260877,204,80%
7,3.497242874,3.49054583,3.490770711,3.493142019,3.493120501,3.493091845,3.493382017,3.493263824,3.493503787,3.493715114,3.498945184,3.49241408,3.492644108,3.495038704,3.495079881,3.495097797,3.495348546,3.495330649,3.495635105,3.495778385,3.500789346,3.49409551,3.494517501,3.49693539,3.497039253,3.497103735,3.497315079,3.497397467,3.497766429,3.497841659,3.360702681,3.361985726,3.361871109,3.361953516,3.361957093,3.362386931,3.362391709,3.362677096,3.362512346,3.362519477,3.357883406,3.359003683,3.358890854,3.359034162,3.359007277,3.359388759,3.359345163,3.359677109,3.359394146,3.359372639,3.35506413,3.35602164,3.355910605,3.356114801,3.356057451,3.356390607,3.356021664,3.356677154,3.35627597,3.356225816,3.451654494,3.483290999,3.488034819,3.487626984,3.487442227,3.487001321,3.48682734,3.486499058,3.486147148,3.485934998,3.487737863,3.488258826,3.489982186,3.49131534,3.491259541,3.491086725,3.491230502,3.491075981,3.49115797,3.491237038,3.495147049,3.492219309,3.493352673,3.495044011,3.495115191,3.495237862,3.495256348,3.495204565,3.495605206,3.495718632,3.477636737,3.486286021,3.489198244,3.489654819,3.489570448,3.489252356,3.489275032,3.489093261,3.488998444,3.488960431,3.365406107,3.366836573,3.366764191,3.367202669,3.367003453,3.367419448,3.367399666,3.368073632,3.367740874,3.367788341,3.370606716,3.372135703,3.372067706,3.37256887,3.37219114,3.372730427,3.372737053,3.373502641,3.373235558,3.373333135,3.38062488,3.381886963,3.381811294,3.382524772,3.381411086,3.382337759,3.383579957,3.383351172,3.383104505,3.383296854,166,Short circuit
8,3.50228681,3.494904376,3.497351409,3.498224855,3.498474438,3.498674731,3.49893417,3.498746972,3.499597471,3.499817491,3.503838378,3.496697285,3.499205213,3.500058331,3.500332436,3.500565445,3.500853278,3.500654529,3.501521453,3.501829823,3.505389949,3.498490191,3.501059011,3.502058485,3.502359346,3.502628044,3.502946853,3.502735505,3.503620342,3.504025091,3.355755185,3.358737097,3.35705701,3.357103565,3.357658841,3.357452257,3.358077936,3.357920342,3.358066303,3.3582042,3.352900666,3.355595489,3.353906471,3.353893899,3.354191384,3.3542685,3.354537467,3.354621105,3.354729347,3.354799587,3.349728981,3.352453882,3.35075593,3.350684233,3.351012885,3.350795293,3.351292035,3.351321871,3.351089023,3.351085468,3.464511286,3.485829644,3.489602544,3.49264765,3.4927627,3.492537221,3.492207516,3.491411211,3.491493825,3.490956754,3.493806258,3.492420014,3.495187851,3.496548088,3.496740781,3.496816044,3.496905812,3.496521122,3.497147694,3.497125058,3.505301,3.505107863,3.505892675,3.506399394,3.506856331,3.507000116,3.506885013,3.507141799,3.506936898,3.507018793,3.48589103,3.489978526,3.493125278,3.494767984,3.494899522,3.494855071,3.4947655,3.494187605,3.494569372,3.494294245,3.360807021,3.363472166,3.362086453,3.361841805,3.361845656,3.361928862,3.362453942,3.362780826,3.362513288,3.36303288,3.365644106,3.368864117,3.367526972,3.367126854,3.367568206,3.367142103,3.36833721,3.368258284,3.367903685,3.368677886,3.374962641,3.378569253,3.377197952,3.376147443,3.376871984,3.37726042,3.377927976,3.377725074,3.378338404,3.379819065,168,Short circuit
9,3.506783923,3.502982833,3.503736834,3.504293854,3.504761318,3.504902462,3.504810532,3.50507112,3.505171451,3.505271718,3.507854349,3.504709057,3.505212693,3.50593393,3.506247425,3.506434149,3.506447842,3.506811039,3.506937827,3.507078307,3.508842433,3.506291429,3.506822717,3.507437329,3.507868636,3.508105082,3.508234001,3.508405963,3.508557001,3.508734345,3.347406603,3.348914029,3.349114299,3.34922266,3.34964893,3.349860233,3.350207691,3.350253644,3.350362003,3.350583794,3.343701049,3.345354435,3.345673064,3.345760429,3.34584095,3.346118479,3.346707806,3.346781431,3.346863672,3.346747193,3.339995493,3.341471241,3.34191899,3.341983448,3.342350304,3.34268854,3.342889744,3.342993563,3.343047314,3.343230307,3.469865118,3.498601769,3.499288034,3.500054858,3.500067457,3.499686573,3.498950589,3.498532061,3.497795775,3.497350607,3.499435483,3.501831845,3.502736113,3.503287368,3.503706814,3.503666925,3.50334616,3.50335589,3.503187081,3.503095317,3.505301,3.505107863,3.505892675,3.506399394,3.506856331,3.507000116,3.506885013,3.507141799,3.506936898,3.507018793,3.492510906,3.500814397,3.501736825,3.502375081,3.502638,3.50241707,3.501880809,3.501787759,3.501380193,3.501130689,3.356229836,3.357327371,3.35946816,3.359477684,3.360761262,3.359953283,3.358820679,3.358888366,3.360554241,3.359072977,3.363853265,3.364658655,3.367512886,3.367491797,3.370289317,3.368874994,3.366218533,3.366220173,3.368601957,3.367274277,3.378413857,3.380682569,3.385917677,3.385742378,3.388918621,3.385989054,3.382656831,3.382392673,3.386949977,3.382346906,98,Short circuit
10,3.505441129,3.501162311,3.501267413,3.501796127,3.50190121,3.502311687,3.502147496,3.502617061,3.503070216,3.503280382,3.506854801,3.502942292,3.503031387,3.50344945,3.503596792,3.504091926,3.504025108,3.504413987,3.504789218,3.505042779,3.508268476,3.504884091,3.504955724,3.505253076,3.50544652,3.506034006,3.50607341,3.506374273,3.506664493,3.506965398,3.348820845,3.350331385,3.35091259,3.351396255,3.351439214,3.351571777,3.35205537,3.352238115,3.352258962,3.352324029,3.345203971,3.347004642,3.347547711,3.347835577,3.348191861,3.348283212,3.348704185,3.348584293,3.348849815,3.348747034,3.341258288,3.343375466,3.343876946,3.344571626,3.344944501,3.344994652,3.345048363,3.345234951,3.345130747,3.345468125,3.454211849,3.495164115,3.496453039,3.496769914,3.496809941,3.496882292,3.496313052,3.496256872,3.494828484,3.494456323,3.496214422,3.499628555,3.499861941,3.500355363,3.500483457,3.50074277,3.500428109,3.50077387,3.500959701,3.501045803,3.503303769,3.50326716,3.503615244,3.504024187,3.504203982,3.504555742,3.504444017,3.504770615,3.504968831,3.504994616,3.487646391,3.498057405,3.498397876,3.498845723,3.498995573,3.499101759,3.498633277,3.498852725,3.498771024,3.498734818,3.353257175,3.354702753,3.355435802,3.356110816,3.356424231,3.356662114,3.356420065,3.357064474,3.357107608,3.357174612,3.358861353,3.35996541,3.360810737,3.362173579,3.361844321,3.362187773,3.361746699,3.363279249,3.362644855,3.363250625,3.369291551,3.369866544,3.371001267,3.372186714,3.371151283,3.371738747,3.371873702,3.373535859,3.37321341,3.373167425,188,Short circuit
